scope,map,rate,comparison,candidate,baseline,metric,direction,n,native_mean,model_mean,aggregate_improvement_pct,mean_paired_improvement_pct,paired_delta_mean,paired_delta_sd,paired_delta_ci95_low,paired_delta_ci95_high,wins,losses,ties,ci_excludes_zero_in_favor_of_model,paired_t_pvalue,paired_effect_size_dz,holm_adjusted_pvalue,holm_significant_in_favor
condition,melbourne,12p0,learned_vs_native,all_model,native_sumo,total_arrived,higher,30,550.7666666666667,568.9,3.292380318344125,3.3552417292463432,18.133333333333333,20.01677457453663,10.659786106909065,25.6068805597576,23,4,3,yes,2.8203521060115113e-05,0.9059068565622342,0.0005358669001421872,yes
condition,melbourne,12p0,learned_vs_native,all_model,native_sumo,mean_avg_speed_mps,higher,30,5.20928356188333,5.5961447481716995,7.426379879165304,7.428864761976617,0.38686118628836985,0.16012911278094955,0.32707470659167537,0.44664766598506433,30,0,0,yes,8.127764871120895e-14,2.4159328654844985,3.982604786849239e-12,yes
condition,melbourne,12p0,learned_vs_native,all_model,native_sumo,mean_global_queue,lower,30,144.9568306010929,118.43661202185793,18.29525277923331,18.2324960555565,26.520218579234967,8.46200110065349,23.360810222993738,29.679626935476197,30,0,0,yes,9.871556105240673e-17,3.134036295172179,6.021649224196811e-15,yes
condition,melbourne,12p0,learned_vs_native,all_model,native_sumo,max_global_queue,lower,30,353.26666666666665,218.93333333333334,38.026042649556516,37.940057676505674,134.33333333333334,21.773652748746326,126.2038306752716,142.46283599139508,30,0,0,yes,7.644484057919649e-25,6.169535947112408,8.638266985449203e-23,yes
condition,melbourne,12p0,learned_vs_native,all_model,native_sumo,mean_global_wait,lower,30,3176.339344262295,4336.41475409836,-36.52240154792066,-37.00103389584849,-1160.0754098360655,646.630858306181,-1401.504229430312,-918.6465902418191,1,29,0,no,9.80663361047765e-11,-1.7940303883344328,3.4323217636671774e-09,no
condition,melbourne,12p0,learned_vs_native,all_model,native_sumo,max_global_wait,lower,30,10264.833333333334,10736.1,-4.5910795758982905,-5.745741295685039,-471.26666666666665,2539.4017749683967,-1419.3884043333483,476.85507100001496,16,14,0,no,0.3178099400851234,-0.1855817662695505,1.0,no
condition,melbourne,12p0,learned_vs_native,all_model,native_sumo,recovered_total,lower,30,851.8333333333334,331.1333333333333,61.12698102132656,61.099583403589115,520.7,40.19019437795656,505.6944198250141,535.7055801749859,30,0,0,yes,4.5389854880910075e-34,12.955896532951147,7.398546345588343e-32,yes
condition,melbourne,12p0,max_pressure_vs_native,max_pressure,native_sumo,total_arrived,higher,30,550.7666666666667,568.4666666666667,3.2137021122072347,3.2782515214881562,17.7,22.31305478398472,9.369103927161449,26.03089607283855,23,7,0,yes,0.0001557623588304112,0.7932575871549529,0.006697781429707682,yes
condition,melbourne,12p0,max_pressure_vs_native,max_pressure,native_sumo,mean_avg_speed_mps,higher,30,5.20928356188333,6.012671862238415,15.422241673183809,15.434827175554412,0.8033883003550842,0.14901837205392113,0.7477501735928147,0.8590264271173538,30,0,0,yes,3.42952430773e-23,5.391203039477471,4.3554958708171e-21,yes
condition,melbourne,12p0,max_pressure_vs_native,max_pressure,native_sumo,mean_global_queue,lower,30,144.9568306010929,110.38032786885246,23.852965457965624,23.781285174503626,34.576502732240435,9.164646911421343,31.15475157792909,37.99825388655178,30,0,0,yes,6.757303315196193e-19,3.772813406389922,7.635752746171699e-17,yes
condition,melbourne,12p0,max_pressure_vs_native,max_pressure,native_sumo,max_global_queue,lower,30,353.26666666666665,214.63333333333333,39.24325344404605,39.1323243238938,138.63333333333333,24.789435087432366,129.37784548475753,147.88882118190912,30,0,0,yes,1.2233994907463026e-23,5.592436166632011,1.5904193379701935e-21,yes
condition,melbourne,12p0,max_pressure_vs_native,max_pressure,native_sumo,mean_global_wait,lower,30,3176.339344262295,3584.212568306011,-12.840983907481217,-13.151218955075153,-407.8732240437159,661.4319834739318,-654.8282540438145,-160.91819404361723,10,20,0,no,0.0020997391816400036,-0.6166518012955914,0.06509191463084012,no
condition,melbourne,12p0,max_pressure_vs_native,max_pressure,native_sumo,max_global_wait,lower,30,10264.833333333334,9325.866666666667,9.147412687330535,8.383203484457885,938.9666666666667,2478.6734979007224,13.518694194003388,1864.4146391393301,19,11,0,yes,0.04697675304065657,0.37881821363802504,1.0,no
condition,melbourne,12p0,max_pressure_vs_native,max_pressure,native_sumo,recovered_total,lower,30,851.8333333333334,377.3333333333333,55.703384856192535,55.604820988301995,474.5,63.29610218429045,450.8675008098141,498.1324991901859,30,0,0,yes,3.0106187647152906e-27,7.496512164658488,4.4557157717786305e-25,yes
condition,melbourne,12p0,learned_vs_max_pressure,all_model,max_pressure,total_arrived,higher,30,568.4666666666667,568.9,0.07622845080332126,0.1585606936698593,0.43333333333333335,21.44066927244984,-7.571845212147032,8.4385118788137,17,13,0,no,0.9126174769212337,0.02021081188403687,1.0,no
condition,melbourne,12p0,learned_vs_max_pressure,all_model,max_pressure,mean_avg_speed_mps,higher,30,6.012671862238415,5.5961447481716995,-6.927487872448931,-6.908827413644802,-0.4165271140667144,0.1587150219862726,-0.4757856228709398,-0.357268605262489,1,29,0,no,1.0029386351471086e-14,-2.6243710825478144,1.514437339072134e-12,no
condition,melbourne,12p0,learned_vs_max_pressure,all_model,max_pressure,mean_global_queue,lower,30,110.38032786885246,118.43661202185793,-7.2986593793936505,-7.574464370813431,-8.056284153005466,7.527608365117405,-10.866823703682982,-5.24574460232795,4,26,0,no,2.3280151512566954e-06,-1.0702315745247748,0.00013269686362163164,no
condition,melbourne,12p0,learned_vs_max_pressure,all_model,max_pressure,max_global_queue,lower,30,214.63333333333333,218.93333333333334,-2.00341667960864,-2.663308372611943,-4.3,23.43170560557227,-13.048560253143002,4.448560253143001,11,19,0,no,0.3231445963674855,-0.18351203588770856,1.0,no
