arrived_this_window_sum,baseline_reused,baseline_source_campaign,controller,demand_map_id,demand_mode,demand_network_sha256,demand_route_file,demand_route_sha256,demand_scenario,evaluation_wall_seconds,extended_total,fixed_demand,max_global_queue,max_global_wait,max_target_queue,max_target_wait,max_tls_spillback,max_tls_starvation,mean_active_vehicles,mean_ambulance_count,mean_avg_speed_mps,mean_global_queue,mean_global_wait,mean_target_queue,mean_target_wait,mean_tls_spillback,mean_tls_starvation,policy_decisions,policy_forced_switches,policy_invalid_actions,policy_switch_rate,policy_switches,recovered_total,samples,scheduled_total,seed,sim_seconds,spawned_total,total_arrived,total_reward
835,,,all_model,sydney,fixed_route_replay,5d6bf4052f31ff08d4001d6a49df983064a06dcb515035aa0ef60210b7eeeb93,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/camera/demand/sydney/rate_12p0/seed_1001.rou.xml,1f188a445e345e30371ab99fd180bebf52f0791334fa55825d26cf5f9b9aca3b,rate_12,120.010149,0,1,278.0,12933.0,0.0,0.0,0.0,0.0,393.327868852459,0.0,5.970747011937946,158.29508196721312,6059.311475409836,0.0,0.0,0.0,0.0,25560,0,0,0.4408841940532081,11269,551,61,1408,1001,1200.0,0,835,0.0
811,,,all_model,sydney,fixed_route_replay,5d6bf4052f31ff08d4001d6a49df983064a06dcb515035aa0ef60210b7eeeb93,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/camera/demand/sydney/rate_12p0/seed_1002.rou.xml,fb57898fc00c0b8da463ad5fe6d6688efb746ea23f4fea18bd1c299298295178,rate_12,130.496061,0,1,281.0,13051.0,0.0,0.0,0.0,0.0,395.75409836065575,0.0,5.925737616335495,159.65573770491804,5957.426229508197,0.0,0.0,0.0,0.0,25560,0,0,0.4452660406885759,11381,517,61,1408,1002,1200.0,0,811,0.0
822,,,all_model,sydney,fixed_route_replay,5d6bf4052f31ff08d4001d6a49df983064a06dcb515035aa0ef60210b7eeeb93,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/camera/demand/sydney/rate_12p0/seed_1003.rou.xml,ee48e626a9f1780c0962c5b7b5e14174e6487adf46322040e4b0474572df257f,rate_12,162.026046,0,1,269.0,12914.0,0.0,0.0,0.0,0.0,394.0655737704918,0.0,5.663095765927228,158.672131147541,6275.049180327869,0.0,0.0,0.0,0.0,25560,0,0,0.4398278560250391,11242,453,61,1408,1003,1200.0,0,822,0.0
798,,,all_model,sydney,fixed_route_replay,5d6bf4052f31ff08d4001d6a49df983064a06dcb515035aa0ef60210b7eeeb93,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/camera/demand/sydney/rate_12p0/seed_1004.rou.xml,397aac43b50ff10349dff6805a9e2656b4838b8fce31b4bd9be59dc79ba0c2f3,rate_12,130.232436,0,1,300.0,13638.0,0.0,0.0,0.0,0.0,414.21311475409834,0.0,5.9094404192348255,161.327868852459,6362.508196721312,0.0,0.0,0.0,0.0,25560,0,0,0.44303599374021907,11324,489,61,1408,1004,1200.0,0,798,0.0
818,,,all_model,sydney,fixed_route_replay,5d6bf4052f31ff08d4001d6a49df983064a06dcb515035aa0ef60210b7eeeb93,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/camera/demand/sydney/rate_12p0/seed_1005.rou.xml,9acdf5d5ea1bfe51b13ff954748e7511dce05bafb1eb9fb763c931f81fc44f30,rate_12,191.064856,0,1,274.0,14782.0,0.0,0.0,0.0,0.0,398.5409836065574,0.0,5.783932065176337,157.59016393442624,5655.44262295082,0.0,0.0,0.0,0.0,25560,0,0,0.44178403755868545,11292,578,61,1408,1005,1200.0,0,818,0.0
767,,,all_model,sydney,fixed_route_replay,5d6bf4052f31ff08d4001d6a49df983064a06dcb515035aa0ef60210b7eeeb93,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/camera/demand/sydney/rate_12p0/seed_1006.rou.xml,616711bf72a658db52169ce0c3efd7dcd1ca1b405939922b1767563d56cadb38,rate_12,142.488960,0,1,325.0,17573.0,0.0,0.0,0.0,0.0,408.3606557377049,0.0,5.508788445985117,175.72131147540983,6867.88524590164,0.0,0.0,0.0,0.0,25560,0,0,0.43998435054773083,11246,504,61,1408,1006,1200.0,0,767,0.0
783,,,all_model,sydney,fixed_route_replay,5d6bf4052f31ff08d4001d6a49df983064a06dcb515035aa0ef60210b7eeeb93,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/camera/demand/sydney/rate_12p0/seed_1007.rou.xml,1d58afa5cee0065020024be77d0f4c2874c8a256e5dcee551349bd11355ae802,rate_12,189.070197,0,1,326.0,16284.0,0.0,0.0,0.0,0.0,417.655737704918,0.0,5.612297040865632,181.21311475409837,7522.606557377049,0.0,0.0,0.0,0.0,25560,0,0,0.4396713615023474,11238,515,61,1408,1007,1200.0,0,783,0.0
792,,,all_model,sydney,fixed_route_replay,5d6bf4052f31ff08d4001d6a49df983064a06dcb515035aa0ef60210b7eeeb93,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/camera/demand/sydney/rate_12p0/seed_1008.rou.xml,be68fdfbcec67d9e4e24885e0ebeacc92da09771349d18dbe9d6810dad78a79e,rate_12,121.366592,0,1,326.0,15399.0,0.0,0.0,0.0,0.0,409.91803278688525,0.0,5.75548818249919,176.39344262295083,7079.4098360655735,0.0,0.0,0.0,0.0,25560,0,0,0.4390453834115806,11222,525,61,1408,1008,1200.0,0,792,0.0
796,,,all_model,sydney,fixed_route_replay,5d6bf4052f31ff08d4001d6a49df983064a06dcb515035aa0ef60210b7eeeb93,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/camera/demand/sydney/rate_12p0/seed_1009.rou.xml,17a1d57bcf52b258f7a31f22f43e8fdd7329d5f90b466baf05ad4b4667ff728f,rate_12,144.629716,0,1,305.0,14282.0,0.0,0.0,0.0,0.0,407.7704918032787,0.0,5.6882754261382,170.327868852459,6861.9672131147545,0.0,0.0,0.0,0.0,25560,0,0,0.4401017214397496,11249,509,61,1408,1009,1200.0,0,796,0.0
769,,,all_model,sydney,fixed_route_replay,5d6bf4052f31ff08d4001d6a49df983064a06dcb515035aa0ef60210b7eeeb93,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/camera/demand/sydney/rate_12p0/seed_1010.rou.xml,59603ef5c3a04fcaa3442cb98cbb592aeb6e5136c18c885f2409944ca74718ac,rate_12,120.122133,0,1,323.0,14586.0,0.0,0.0,0.0,0.0,421.4918032786885,0.0,5.6461142140497795,178.68852459016392,6879.934426229508,0.0,0.0,0.0,0.0,25560,0,0,0.44315336463223787,11327,529,61,1408,1010,1200.0,0,769,0.0
