arrived_this_window_sum,baseline_reused,baseline_source_campaign,controller,demand_map_id,demand_mode,demand_network_sha256,demand_route_file,demand_route_sha256,demand_scenario,evaluation_wall_seconds,extended_total,fixed_demand,max_global_queue,max_global_wait,max_target_queue,max_target_wait,max_tls_spillback,max_tls_starvation,mean_active_vehicles,mean_ambulance_count,mean_avg_speed_mps,mean_global_queue,mean_global_wait,mean_target_queue,mean_target_wait,mean_tls_spillback,mean_tls_starvation,policy_decisions,policy_forced_switches,policy_invalid_actions,policy_switch_rate,policy_switches,recovered_total,samples,scheduled_total,seed,sim_seconds,spawned_total,total_arrived,total_reward
399,,,all_model,toronto,fixed_route_replay,ba8c58622238bedf041f5fe389a5bd27c0f671c20039939f810105da37d34a97,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/camera/demand/toronto/rate_6p0/seed_1001.rou.xml,306b7cebb5149932f320ba13fd005b2797d71e2983b8feeb13a3d3bed3ab0e89,rate_6,113.984757,0,1,59.0,1550.0,0.0,0.0,0.0,0.0,152.75409836065575,0.0,6.680729414781303,36.63934426229508,603.2786885245902,0.0,0.0,0.0,0.0,25560,0,0,0.460093896713615,11760,354,61,599,1001,1200.0,0,399,0.0
357,,,all_model,toronto,fixed_route_replay,ba8c58622238bedf041f5fe389a5bd27c0f671c20039939f810105da37d34a97,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/camera/demand/toronto/rate_6p0/seed_1002.rou.xml,902651e59f60add7418c7f0ac8c7c96898c7ca17279df3f9508c77799256f806,rate_6,96.034257,0,1,75.0,2098.0,0.0,0.0,0.0,0.0,161.2622950819672,0.0,6.685870001424399,42.442622950819676,778.4426229508197,0.0,0.0,0.0,0.0,25560,0,0,0.46173708920187795,11802,328,61,599,1002,1200.0,0,357,0.0
379,,,all_model,toronto,fixed_route_replay,ba8c58622238bedf041f5fe389a5bd27c0f671c20039939f810105da37d34a97,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/camera/demand/toronto/rate_6p0/seed_1003.rou.xml,2e752606c847134a8e6c65b168d5e599a03e8c1574721f4742141c2450cb64d6,rate_6,86.740385,0,1,76.0,2049.0,0.0,0.0,0.0,0.0,159.81967213114754,0.0,6.637863853963581,40.295081967213115,737.672131147541,0.0,0.0,0.0,0.0,25560,0,0,0.46142410015649454,11794,330,61,599,1003,1200.0,0,379,0.0
384,,,all_model,toronto,fixed_route_replay,ba8c58622238bedf041f5fe389a5bd27c0f671c20039939f810105da37d34a97,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/camera/demand/toronto/rate_6p0/seed_1004.rou.xml,09efa343c6d8a98521b1c122c6c8c7d2b43ccb7cd61aecc1e3a7c909174f8ea4,rate_6,99.271885,0,1,67.0,1491.0,0.0,0.0,0.0,0.0,157.8360655737705,0.0,6.901447219368734,38.459016393442624,573.8360655737705,0.0,0.0,0.0,0.0,25560,0,0,0.46068075117370894,11775,335,61,599,1004,1200.0,0,384,0.0
403,,,all_model,toronto,fixed_route_replay,ba8c58622238bedf041f5fe389a5bd27c0f671c20039939f810105da37d34a97,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/camera/demand/toronto/rate_6p0/seed_1005.rou.xml,a642fdde65fb6973dfb7f9d1db570c5efbaf54fee37902bcfc5ebf039a004338,rate_6,115.073435,0,1,66.0,1128.0,0.0,0.0,0.0,0.0,153.95081967213116,0.0,6.721242587896303,39.26229508196721,565.4590163934427,0.0,0.0,0.0,0.0,25560,0,0,0.45982003129890453,11753,374,61,599,1005,1200.0,0,403,0.0
379,,,all_model,toronto,fixed_route_replay,ba8c58622238bedf041f5fe389a5bd27c0f671c20039939f810105da37d34a97,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/camera/demand/toronto/rate_6p0/seed_1006.rou.xml,d42f27e7f5dd798cfca3ed0dca29a917a228937ee1d7689e5f3a697743496338,rate_6,143.051349,0,1,76.0,1796.0,0.0,0.0,0.0,0.0,158.18032786885246,0.0,6.63535237185194,42.22950819672131,672.1311475409836,0.0,0.0,0.0,0.0,25560,0,0,0.46118935837245695,11788,329,61,599,1006,1200.0,0,379,0.0
381,,,all_model,toronto,fixed_route_replay,ba8c58622238bedf041f5fe389a5bd27c0f671c20039939f810105da37d34a97,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/camera/demand/toronto/rate_6p0/seed_1007.rou.xml,f414d8918e0a033d7f2207a9b1716afa49e354669a4613404cb3e181899d9b50,rate_6,88.255244,0,1,68.0,1333.0,0.0,0.0,0.0,0.0,155.72131147540983,0.0,6.7134502753459575,40.57377049180328,648.0491803278688,0.0,0.0,0.0,0.0,25560,0,0,0.4610719874804382,11785,370,61,599,1007,1200.0,0,381,0.0
398,,,all_model,toronto,fixed_route_replay,ba8c58622238bedf041f5fe389a5bd27c0f671c20039939f810105da37d34a97,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/camera/demand/toronto/rate_6p0/seed_1008.rou.xml,8e32a5e11b45e678fd8631aa97f13496b74b40546962180f89bb138483d127b5,rate_6,99.468639,0,1,72.0,1587.0,0.0,0.0,0.0,0.0,154.52459016393442,0.0,6.67052991686542,39.885245901639344,612.5737704918033,0.0,0.0,0.0,0.0,25560,0,0,0.46220657276995303,11814,368,61,599,1008,1200.0,0,398,0.0
396,,,all_model,toronto,fixed_route_replay,ba8c58622238bedf041f5fe389a5bd27c0f671c20039939f810105da37d34a97,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/camera/demand/toronto/rate_6p0/seed_1009.rou.xml,58b7dd8bf7aaab217e5cc35e9c782623f4577844e11fa58549ed7506897af321,rate_6,92.586474,0,1,65.0,1234.0,0.0,0.0,0.0,0.0,157.24590163934425,0.0,6.790435312990606,41.31147540983606,628.4590163934427,0.0,0.0,0.0,0.0,25560,0,0,0.4583333333333333,11715,391,61,599,1009,1200.0,0,396,0.0
384,,,all_model,toronto,fixed_route_replay,ba8c58622238bedf041f5fe389a5bd27c0f671c20039939f810105da37d34a97,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/camera/demand/toronto/rate_6p0/seed_1010.rou.xml,db4e699d7d625bac628b82fa839efd9f694a06fa9365f3824e8358149a4647e3,rate_6,104.524933,0,1,61.0,1585.0,0.0,0.0,0.0,0.0,159.59016393442624,0.0,6.905740480739092,39.67213114754098,664.327868852459,0.0,0.0,0.0,0.0,25560,0,0,0.4605242566510172,11771,340,61,599,1010,1200.0,0,384,0.0
381,,,all_model,toronto,fixed_route_replay,ba8c58622238bedf041f5fe389a5bd27c0f671c20039939f810105da37d34a97,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/camera/demand/toronto/rate_6p0/seed_1011.rou.xml,75f613801234dd2d109e497cb55adea4a92ac20ce38c15aca6558f7aa9363c75,rate_6,90.675524,0,1,67.0,1473.0,0.0,0.0,0.0,0.0,156.0327868852459,0.0,6.647405685614538,38.85245901639344,631.2622950819672,0.0,0.0,0.0,0.0,25560,0,0,0.4607981220657277,11778,333,61,599,1011,1200.0,0,381,0.0
