arrived_this_window_sum,controller,demand_map_id,demand_mode,demand_network_sha256,demand_route_file,demand_route_sha256,demand_scenario,evaluation_wall_seconds,extended_total,fixed_demand,max_global_queue,max_global_wait,max_target_queue,max_target_wait,max_tls_spillback,max_tls_starvation,mean_active_vehicles,mean_ambulance_count,mean_avg_speed_mps,mean_global_queue,mean_global_wait,mean_target_queue,mean_target_wait,mean_tls_spillback,mean_tls_starvation,policy_decisions,policy_forced_switches,policy_invalid_actions,policy_switch_rate,policy_switches,recovered_total,samples,scheduled_total,seed,sim_seconds,spawned_total,total_arrived,total_reward
595,all_model,melbourne,fixed_route_replay,1b6b59263e7713467e0d746e1576eb4c07d1a154ee750e15d3694900deebd987,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/melbourne/rate_12p0/seed_1001.rou.xml,adf059168bc84dcbc7d1b8d055a155b7486f3b349e9f5f1c34b649a7d5210a54,rate_12,88.233750,0,1,185.0,8882.0,0.0,0.0,0.0,0.0,296.57377049180326,0.0,5.590896396887297,108.32786885245902,3546.44262295082,0.0,0.0,0.0,0.0,24120,0,0,0.4435737976782753,10699,295,61,1032,1001,1200.0,0,595,0.0
581,all_model,melbourne,fixed_route_replay,1b6b59263e7713467e0d746e1576eb4c07d1a154ee750e15d3694900deebd987,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/melbourne/rate_12p0/seed_1002.rou.xml,2f26f90d66154ff18f2441a53428ed3b548e2961d8ea97664e5b52a8daf06cc3,rate_12,87.915851,0,1,206.0,9304.0,0.0,0.0,0.0,0.0,296.6393442622951,0.0,5.495539214126166,113.54098360655738,4373.213114754099,0.0,0.0,0.0,0.0,24120,0,0,0.44353233830845773,10698,322,61,1032,1002,1200.0,0,581,0.0
553,all_model,melbourne,fixed_route_replay,1b6b59263e7713467e0d746e1576eb4c07d1a154ee750e15d3694900deebd987,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/melbourne/rate_12p0/seed_1003.rou.xml,3fca05f3e552523d125288655627b27cb64c599ab85752c121201cc786e498e4,rate_12,117.415340,0,1,218.0,8740.0,0.0,0.0,0.0,0.0,306.37704918032784,0.0,5.644026637333087,118.01639344262296,3943.55737704918,0.0,0.0,0.0,0.0,24120,0,0,0.44407131011608625,10711,346,61,1032,1003,1200.0,0,553,0.0
579,all_model,melbourne,fixed_route_replay,1b6b59263e7713467e0d746e1576eb4c07d1a154ee750e15d3694900deebd987,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/melbourne/rate_12p0/seed_1004.rou.xml,b5135805f6e5890af5ad709bc19b00374b54e6e171489d08391a8124cd89a779,rate_12,91.641544,0,1,194.0,6700.0,0.0,0.0,0.0,0.0,297.0,0.0,5.777797963835022,107.90163934426229,3290.7377049180327,0.0,0.0,0.0,0.0,24120,0,0,0.44212271973466005,10664,322,61,1032,1004,1200.0,0,579,0.0
601,all_model,melbourne,fixed_route_replay,1b6b59263e7713467e0d746e1576eb4c07d1a154ee750e15d3694900deebd987,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/melbourne/rate_12p0/seed_1005.rou.xml,00a26f5b6dd89dfddcbeb0b012a34e3b3f5094143622256f0689dd06d18ee0f6,rate_12,148.774844,0,1,209.0,9627.0,0.0,0.0,0.0,0.0,294.59016393442624,0.0,5.711442221378918,115.57377049180327,4168.229508196721,0.0,0.0,0.0,0.0,24120,0,0,0.4433665008291874,10694,288,61,1032,1005,1200.0,0,601,0.0
574,all_model,melbourne,fixed_route_replay,1b6b59263e7713467e0d746e1576eb4c07d1a154ee750e15d3694900deebd987,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/melbourne/rate_12p0/seed_1006.rou.xml,7eea1031e9691de557d773ad9456aa2f850a7baab71746482d526d7ed1424b0d,rate_12,135.340825,0,1,189.0,7835.0,0.0,0.0,0.0,0.0,299.08196721311475,0.0,5.998475789629122,102.8360655737705,3001.934426229508,0.0,0.0,0.0,0.0,24120,0,0,0.4454809286898839,10745,349,61,1032,1006,1200.0,0,574,0.0
547,all_model,melbourne,fixed_route_replay,1b6b59263e7713467e0d746e1576eb4c07d1a154ee750e15d3694900deebd987,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/melbourne/rate_12p0/seed_1007.rou.xml,3e98f74176e1bd7bce281a3f04db5c577e6c4f1bcba03fbd80f9da739fc725e2,rate_12,95.784013,0,1,248.0,14069.0,0.0,0.0,0.0,0.0,311.0163934426229,0.0,5.59204047078887,123.59016393442623,5333.196721311476,0.0,0.0,0.0,0.0,24120,0,0,0.4474295190713101,10792,309,61,1032,1007,1200.0,0,547,0.0
572,all_model,melbourne,fixed_route_replay,1b6b59263e7713467e0d746e1576eb4c07d1a154ee750e15d3694900deebd987,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/melbourne/rate_12p0/seed_1008.rou.xml,3c60c19ba90014a067f6af7507cbe6fbab457864f41d965bdf0890fafe8b7681,rate_12,139.010524,0,1,220.0,10443.0,0.0,0.0,0.0,0.0,304.24590163934425,0.0,5.55460088803918,118.80327868852459,4313.704918032787,0.0,0.0,0.0,0.0,24120,0,0,0.4443200663349917,10717,296,61,1032,1008,1200.0,0,572,0.0
571,all_model,melbourne,fixed_route_replay,1b6b59263e7713467e0d746e1576eb4c07d1a154ee750e15d3694900deebd987,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/melbourne/rate_12p0/seed_1009.rou.xml,29c4d0db0d3767f7d6c82f0de1c496fe06c15617ad31dd99450e4e7c2d044c24,rate_12,117.050341,0,1,197.0,8935.0,0.0,0.0,0.0,0.0,315.95081967213116,0.0,5.647357610939282,117.52459016393442,3967.7377049180327,0.0,0.0,0.0,0.0,24120,0,0,0.4443200663349917,10717,310,61,1032,1009,1200.0,0,571,0.0
580,all_model,melbourne,fixed_route_replay,1b6b59263e7713467e0d746e1576eb4c07d1a154ee750e15d3694900deebd987,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/melbourne/rate_12p0/seed_1010.rou.xml,3ff858b0af3479694fc01ba72d233970c2370c7fa014af08e9a971ca1e8ff75e,rate_12,150.479643,0,1,221.0,9274.0,0.0,0.0,0.0,0.0,299.5409836065574,0.0,5.6642350716523175,115.45901639344262,3782.245901639344,0.0,0.0,0.0,0.0,24120,0,0,0.44307628524046433,10687,345,61,1032,1010,1200.0,0,580,0.0
