arrived_this_window_sum,controller,demand_map_id,demand_mode,demand_network_sha256,demand_route_file,demand_route_sha256,demand_scenario,evaluation_wall_seconds,extended_total,fixed_demand,max_global_queue,max_global_wait,max_target_queue,max_target_wait,max_tls_spillback,max_tls_starvation,mean_active_vehicles,mean_ambulance_count,mean_avg_speed_mps,mean_global_queue,mean_global_wait,mean_target_queue,mean_target_wait,mean_tls_spillback,mean_tls_starvation,policy_decisions,policy_forced_switches,policy_invalid_actions,policy_switch_rate,policy_switches,recovered_total,samples,scheduled_total,seed,sim_seconds,spawned_total,total_arrived,total_reward
390,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/montreal/rate_12p0/seed_1001.rou.xml,eb33883ee99a8609ad0f5be7d7604a08632c49b56eb6d8a7404c5ea14e4972e0,rate_12,79.616543,0,1,157.0,8165.0,0.0,0.0,0.0,0.0,208.0983606557377,0.0,5.041939751924997,83.62295081967213,3554.1967213114754,0.0,0.0,0.0,0.0,17040,0,0,0.4425469483568075,7541,250,61,699,1001,1200.0,0,390,0.0
378,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/montreal/rate_12p0/seed_1002.rou.xml,3fc11488ab9771bfac1dac6d2603897becf6e9350ec641155cc9cffe59349cb2,rate_12,61.270679,0,1,190.0,11731.0,0.0,0.0,0.0,0.0,207.327868852459,0.0,4.955567776152396,91.21311475409836,3989.2131147540986,0.0,0.0,0.0,0.0,17040,0,0,0.44442488262910795,7573,258,61,699,1002,1200.0,0,378,0.0
378,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/montreal/rate_12p0/seed_1003.rou.xml,ef7aff8270cc916931274da5917b88a1e774c6b5408a3c83acff7c396e210dd9,rate_12,58.181575,0,1,176.0,13328.0,0.0,0.0,0.0,0.0,205.91803278688525,0.0,4.969842545573215,87.34426229508196,4144.524590163935,0.0,0.0,0.0,0.0,17040,0,0,0.44454225352112675,7575,216,61,699,1003,1200.0,0,378,0.0
367,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/montreal/rate_12p0/seed_1004.rou.xml,8a6c97009435249b87739e3eaa51b465a36dee853e3bc7f50694aaf6235ec0b1,rate_12,86.252245,0,1,185.0,12055.0,0.0,0.0,0.0,0.0,202.44262295081967,0.0,4.917176639379929,89.0327868852459,4091.7868852459014,0.0,0.0,0.0,0.0,17040,0,0,0.44360328638497654,7559,257,61,699,1004,1200.0,0,367,0.0
395,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/montreal/rate_12p0/seed_1005.rou.xml,2d092cda1d74ffd65792289eede8958086490581a1bcde7f0bf5f0b45e33c805,rate_12,67.684785,0,1,149.0,9119.0,0.0,0.0,0.0,0.0,201.36065573770492,0.0,4.993631516022099,82.40983606557377,3526.7377049180327,0.0,0.0,0.0,0.0,17040,0,0,0.44929577464788734,7656,232,61,699,1005,1200.0,0,395,0.0
393,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/montreal/rate_12p0/seed_1006.rou.xml,a5d298d465f8a2078749f815e29b12452bcead7c33095c9629e0d8dcac553071,rate_12,72.192739,0,1,173.0,9937.0,0.0,0.0,0.0,0.0,195.88524590163934,0.0,4.795571148212556,87.54098360655738,3829.4262295081967,0.0,0.0,0.0,0.0,17040,0,0,0.44354460093896714,7558,249,61,699,1006,1200.0,0,393,0.0
372,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/montreal/rate_12p0/seed_1007.rou.xml,464c5c6081057f50eaa6f9816d643e5fff04c8cac5e5d302ce3589f00e763b95,rate_12,67.256686,0,1,175.0,11246.0,0.0,0.0,0.0,0.0,210.1639344262295,0.0,4.799300147365175,92.11475409836065,4251.131147540984,0.0,0.0,0.0,0.0,17040,0,0,0.4437206572769953,7561,211,61,699,1007,1200.0,0,372,0.0
382,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/montreal/rate_12p0/seed_1008.rou.xml,411d8e53ccb3cc22c49505492c61712956c0208cd33c9ab942f29729fe25838f,rate_12,78.629208,0,1,164.0,8708.0,0.0,0.0,0.0,0.0,206.0983606557377,0.0,4.9082116124845125,89.75409836065573,3854.754098360656,0.0,0.0,0.0,0.0,17040,0,0,0.4507042253521127,7680,250,61,699,1008,1200.0,0,382,0.0
381,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/montreal/rate_12p0/seed_1009.rou.xml,81d9aa78c5803cbdbf2e7450282d87f2c2ad92638aeb22f57b24b520d5f3515f,rate_12,59.793005,0,1,167.0,11458.0,0.0,0.0,0.0,0.0,206.95081967213116,0.0,4.882562974410718,90.49180327868852,4233.88524590164,0.0,0.0,0.0,0.0,17040,0,0,0.44184272300469485,7529,233,61,699,1009,1200.0,0,381,0.0
368,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/montreal/rate_12p0/seed_1010.rou.xml,7e8b2e13466da7f5fde33e3460d347a88e09cbb2fdc18694257f1512ddb001cb,rate_12,77.007005,0,1,183.0,12914.0,0.0,0.0,0.0,0.0,212.9016393442623,0.0,4.714701072673957,97.18032786885246,4474.672131147541,0.0,0.0,0.0,0.0,17040,0,0,0.44442488262910795,7573,258,61,699,1010,1200.0,0,368,0.0
377,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/montreal/rate_12p0/seed_1011.rou.xml,5f795c838cc7dea6aacd587c0c7ab54cc92e51caf0b8b3b7ed9eae80b5ddca3e,rate_12,72.124307,0,1,162.0,11394.0,0.0,0.0,0.0,0.0,209.78688524590163,0.0,4.928072097756347,87.09836065573771,3578.1803278688526,0.0,0.0,0.0,0.0,17040,0,0,0.44360328638497654,7559,202,61,699,1011,1200.0,0,377,0.0
386,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/montreal/rate_12p0/seed_1012.rou.xml,bf851da88d00f84b722af3a529bbd8db9532e1f6cc0a0b5248a42878d45a2dc9,rate_12,78.325035,0,1,168.0,11951.0,0.0,0.0,0.0,0.0,202.85245901639345,0.0,4.790096861694806,88.49180327868852,3846.2622950819673,0.0,0.0,0.0,0.0,17040,0,0,0.4450117370892019,7583,271,61,699,1012,1200.0,0,386,0.0
395,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/montreal/rate_12p0/seed_1013.rou.xml,d2bcecea18426adac94381eee03a5d45826cb6cf00d688e87973e7f7cc4f8ae6,rate_12,85.940489,0,1,154.0,10632.0,0.0,0.0,0.0,0.0,201.45901639344262,0.0,5.068040355625181,83.49180327868852,3303.55737704918,0.0,0.0,0.0,0.0,17040,0,0,0.44735915492957745,7623,219,61,699,1013,1200.0,0,395,0.0
379,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/montreal/rate_12p0/seed_1014.rou.xml,fa02b5f00df748e4abc1b140c490855fde1343fa974709a6682ff140bb7d07e4,rate_12,86.969114,0,1,165.0,9869.0,0.0,0.0,0.0,0.0,206.78688524590163,0.0,5.044134164402771,85.91803278688525,3412.8852459016393,0.0,0.0,0.0,0.0,17040,0,0,0.4478286384976526,7631,206,61,699,1014,1200.0,0,379,0.0
385,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/montreal/rate_12p0/seed_1015.rou.xml,efb71c7ae3213ef97ba02c4b01f5364ba7f5855c387282577d243f236c461ab1,rate_12,63.003727,0,1,150.0,9912.0,0.0,0.0,0.0,0.0,203.70491803278688,0.0,5.30593098051843,79.88524590163935,3205.6393442622953,0.0,0.0,0.0,0.0,17040,0,0,0.4481807511737089,7637,299,61,699,1015,1200.0,0,385,0.0
356,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/montreal/rate_12p0/seed_1016.rou.xml,ca3bd2a2a07386e6e6f57872d1158fca4c1248974e9d07075caf284e67d64b31,rate_12,83.081603,0,1,193.0,11756.0,0.0,0.0,0.0,0.0,212.21311475409837,0.0,4.889469831139858,92.85245901639344,4254.0327868852455,0.0,0.0,0.0,0.0,17040,0,0,0.44295774647887326,7548,291,61,699,1016,1200.0,0,356,0.0
377,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/montreal/rate_12p0/seed_1017.rou.xml,d1923a99702baaee84d156444bc42168bc2434e88bc60650e707beb0dc839d4d,rate_12,61.773434,0,1,187.0,8778.0,0.0,0.0,0.0,0.0,207.68852459016392,0.0,5.098086750307203,87.19672131147541,3542.4262295081967,0.0,0.0,0.0,0.0,17040,0,0,0.45117370892018777,7688,244,61,699,1017,1200.0,0,377,0.0
396,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/montreal/rate_12p0/seed_1018.rou.xml,8a38377b92f7eb2ae03d0ed4fbcdec110906d0c64b3c7688d64a6d2d87e03b28,rate_12,98.275724,0,1,168.0,9911.0,0.0,0.0,0.0,0.0,208.31147540983608,0.0,4.998614615737551,88.57377049180327,3673.4590163934427,0.0,0.0,0.0,0.0,17040,0,0,0.4461267605633803,7602,282,61,699,1018,1200.0,0,396,0.0
370,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/montreal/rate_12p0/seed_1019.rou.xml,50f30cb0791ca46a0f7cea8dd76395bbcef88843b406ef814779a33fd4682770,rate_12,60.754025,0,1,174.0,12540.0,0.0,0.0,0.0,0.0,205.5737704918033,0.0,4.830086765354611,90.67213114754098,4091.688524590164,0.0,0.0,0.0,0.0,17040,0,0,0.4424882629107981,7540,215,61,699,1019,1200.0,0,370,0.0
415,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/montreal/rate_12p0/seed_1020.rou.xml,e51a2f6e6574ceb205c0cc5d03b57a4d46245c21587f86db73a7a045becf7b2f,rate_12,67.619367,0,1,136.0,8170.0,0.0,0.0,0.0,0.0,197.5737704918033,0.0,5.096905974308583,79.09836065573771,3334.8196721311474,0.0,0.0,0.0,0.0,17040,0,0,0.4471244131455399,7619,236,61,699,1020,1200.0,0,415,0.0
393,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/montreal/rate_12p0/seed_1021.rou.xml,e2d1f191ecc54fb516748bdac048494da443a53ffb842af639651baea0f8e788,rate_12,72.905176,0,1,162.0,12384.0,0.0,0.0,0.0,0.0,200.18032786885246,0.0,5.090711119945304,83.8360655737705,3996.901639344262,0.0,0.0,0.0,0.0,17040,0,0,0.44741784037558685,7624,263,61,699,1021,1200.0,0,393,0.0
386,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/montreal/rate_12p0/seed_1022.rou.xml,abd9e70ae27543d4c6bba5ffc7d9854e8536a505c12b3ace3ada4ceca4e18a61,rate_12,76.820370,0,1,170.0,10715.0,0.0,0.0,0.0,0.0,200.60655737704917,0.0,4.744523506606212,87.81967213114754,4185.88524590164,0.0,0.0,0.0,0.0,17040,0,0,0.4441901408450704,7569,292,61,699,1022,1200.0,0,386,0.0
384,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/montreal/rate_12p0/seed_1023.rou.xml,8247c42db31bf0f0d457e394787e63d6a7e93b78899b9a81937a91459df30c5c,rate_12,84.440679,0,1,169.0,8644.0,0.0,0.0,0.0,0.0,197.29508196721312,0.0,4.984951172782422,82.91803278688525,3656.5081967213114,0.0,0.0,0.0,0.0,17040,0,0,0.44278169014084506,7545,220,61,699,1023,1200.0,0,384,0.0
377,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/montreal/rate_12p0/seed_1024.rou.xml,3b2d8b531e7e270c6081135aeb89cca4b1a822a5b82bdb03f37def024dc0179b,rate_12,59.862890,0,1,158.0,8958.0,0.0,0.0,0.0,0.0,211.0983606557377,0.0,4.9917696926797,87.39344262295081,3655.7704918032787,0.0,0.0,0.0,0.0,17040,0,0,0.44354460093896714,7558,254,61,699,1024,1200.0,0,377,0.0
379,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/montreal/rate_12p0/seed_1025.rou.xml,33911cde720fd069f4e94b69a7ffa221af06801175b9995bdeb0e65376471955,rate_12,62.109202,0,1,169.0,10125.0,0.0,0.0,0.0,0.0,199.85245901639345,0.0,5.062105781964163,85.06557377049181,3753.7377049180327,0.0,0.0,0.0,0.0,17040,0,0,0.4430164319248826,7549,199,61,699,1025,1200.0,0,379,0.0
396,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/montreal/rate_12p0/seed_1026.rou.xml,9ad392ab6cebbf253ac7270a628cb09096ae398549961006cbc678d1b85d12b9,rate_12,66.763022,0,1,161.0,10116.0,0.0,0.0,0.0,0.0,200.40983606557376,0.0,5.127198117098078,85.24590163934427,3530.7868852459014,0.0,0.0,0.0,0.0,17040,0,0,0.44630281690140844,7605,272,61,699,1026,1200.0,0,396,0.0
378,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/montreal/rate_12p0/seed_1027.rou.xml,f380af9388370db0c4efed6de7987a81ee934b84086774fc87b557d14de16208,rate_12,60.101485,0,1,174.0,10878.0,0.0,0.0,0.0,0.0,200.1639344262295,0.0,5.051313445108335,86.72131147540983,3857.3278688524592,0.0,0.0,0.0,0.0,17040,0,0,0.4467136150234742,7612,190,61,699,1027,1200.0,0,378,0.0
393,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/montreal/rate_12p0/seed_1028.rou.xml,15c51429a353663610770a5e5f421b448309693b16bbe5985ef712bbeae4a809,rate_12,79.366843,0,1,159.0,8400.0,0.0,0.0,0.0,0.0,200.4262295081967,0.0,5.120953659981612,83.21311475409836,3391.0163934426228,0.0,0.0,0.0,0.0,17040,0,0,0.4448356807511737,7580,211,61,699,1028,1200.0,0,393,0.0
387,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/montreal/rate_12p0/seed_1029.rou.xml,975f36df8f78ffb4dd87e911f6c695065e9907bbdf856c21b8782b50d81d515e,rate_12,80.804157,0,1,166.0,10134.0,0.0,0.0,0.0,0.0,204.0,0.0,4.975198377854675,88.09836065573771,3813.1639344262294,0.0,0.0,0.0,0.0,17040,0,0,0.4460093896713615,7600,285,61,699,1029,1200.0,0,387,0.0
395,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/montreal/rate_12p0/seed_1030.rou.xml,d76e2dd54e6c67eea7f3891f954ef76142a0a35e36c8757c9184c250a9108300,rate_12,58.078257,0,1,152.0,8985.0,0.0,0.0,0.0,0.0,208.47540983606558,0.0,5.164294905696036,84.1311475409836,3601.72131147541,0.0,0.0,0.0,0.0,17040,0,0,0.44172535211267605,7527,186,61,699,1030,1200.0,0,395,0.0
337,max_pressure,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/montreal/rate_12p0/seed_1001.rou.xml,eb33883ee99a8609ad0f5be7d7604a08632c49b56eb6d8a7404c5ea14e4972e0,rate_12,46.881119,0,1,208.0,13469.0,0.0,0.0,0.5,1.0,220.29508196721312,0.0,4.92298457327595,101.78688524590164,4707.639344262295,0.0,0.0,0.003261186764135152,0.2658072509128847,17040,0,0,0.49008215962441315,8351,279,61,699,1001,1200.0,0,337,0.0
343,max_pressure,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/montreal/rate_12p0/seed_1002.rou.xml,3fc11488ab9771bfac1dac6d2603897becf6e9350ec641155cc9cffe59349cb2,rate_12,57.732819,0,1,209.0,13183.0,0.0,0.0,0.5,1.0,217.327868852459,0.0,4.827741869251994,102.06557377049181,4631.327868852459,0.0,0.0,0.0034855104584809926,0.2654068857589984,17040,0,0,0.4897887323943662,8346,358,61,699,1002,1200.0,0,343,0.0
334,max_pressure,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/montreal/rate_12p0/seed_1003.rou.xml,ef7aff8270cc916931274da5917b88a1e774c6b5408a3c83acff7c396e210dd9,rate_12,59.170893,0,1,223.0,16753.0,0.0,0.0,0.5,1.0,218.13114754098362,0.0,4.640874872743172,108.27868852459017,5739.295081967213,0.0,0.0,0.0025812674338240157,0.26525625978090767,17040,0,0,0.4895539906103286,8342,197,61,699,1003,1200.0,0,334,0.0
