arrived_this_window_sum,controller,demand_map_id,demand_mode,demand_network_sha256,demand_route_file,demand_route_sha256,demand_scenario,evaluation_wall_seconds,extended_total,fixed_demand,max_global_queue,max_global_wait,max_target_queue,max_target_wait,max_tls_spillback,max_tls_starvation,mean_active_vehicles,mean_ambulance_count,mean_avg_speed_mps,mean_global_queue,mean_global_wait,mean_target_queue,mean_target_wait,mean_tls_spillback,mean_tls_starvation,policy_decisions,policy_forced_switches,policy_invalid_actions,policy_switch_rate,policy_switches,recovered_total,samples,scheduled_total,seed,sim_seconds,spawned_total,total_arrived,total_reward
395,all_model,new_york,fixed_route_replay,024cd98544929d8722c5a07b1fe785858e09260cf6b97ef3cc93a690b69980d1,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/new_york/rate_12p0/seed_1001.rou.xml,d0bbcc4468a17fdde37b0131a1237ccd4309030602f4a75d8a6eb6ab26d11d37,rate_12,124.701310,0,1,140.0,2528.0,0.0,0.0,0.0,0.0,241.04918032786884,0.0,5.021809253918035,81.54098360655738,1224.4262295081967,0.0,0.0,0.0,0.0,42120,0,0,0.4196343779677113,17675,297,61,757,1001,1200.0,0,395,0.0
385,all_model,new_york,fixed_route_replay,024cd98544929d8722c5a07b1fe785858e09260cf6b97ef3cc93a690b69980d1,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/new_york/rate_12p0/seed_1002.rou.xml,f7e3f0f86502288ea3f519b78e1c1968b9d7c17a6486e23064691f274d01787f,rate_12,101.612826,0,1,142.0,2743.0,0.0,0.0,0.0,0.0,246.50819672131146,0.0,5.003455798391576,82.8688524590164,1331.1475409836066,0.0,0.0,0.0,0.0,42120,0,0,0.4165954415954416,17547,289,61,757,1002,1200.0,0,385,0.0
370,all_model,new_york,fixed_route_replay,024cd98544929d8722c5a07b1fe785858e09260cf6b97ef3cc93a690b69980d1,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/new_york/rate_12p0/seed_1003.rou.xml,a6887c2b9a56cb78715669cd6f9aca407692005dd663e125efd0402aaee8ec68,rate_12,102.715925,0,1,163.0,3479.0,0.0,0.0,0.0,0.0,247.72131147540983,0.0,4.8208546129068,88.45901639344262,1265.3934426229507,0.0,0.0,0.0,0.0,42120,0,0,0.4193969610636277,17665,353,61,757,1003,1200.0,0,370,0.0
409,all_model,new_york,fixed_route_replay,024cd98544929d8722c5a07b1fe785858e09260cf6b97ef3cc93a690b69980d1,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/new_york/rate_12p0/seed_1004.rou.xml,39b1801c02483587c9a2ca4a1e897710c3a301c7fe7a69c43c33f0d8e4eb28ba,rate_12,131.600398,0,1,133.0,1689.0,0.0,0.0,0.0,0.0,237.5737704918033,0.0,5.237563875275768,77.09836065573771,922.1147540983607,0.0,0.0,0.0,0.0,42120,0,0,0.4214150047483381,17750,337,61,757,1004,1200.0,0,409,0.0
388,all_model,new_york,fixed_route_replay,024cd98544929d8722c5a07b1fe785858e09260cf6b97ef3cc93a690b69980d1,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/new_york/rate_12p0/seed_1005.rou.xml,0116fcf9c20092462d0756dd2fd6c9a03447fcd3519ee8e30aa61ea146cbf458,rate_12,95.070466,0,1,164.0,3516.0,0.0,0.0,0.0,0.0,240.88524590163934,0.0,5.071696258005159,82.06557377049181,1352.049180327869,0.0,0.0,0.0,0.0,42120,0,0,0.4175451092117759,17587,378,61,757,1005,1200.0,0,388,0.0
385,all_model,new_york,fixed_route_replay,024cd98544929d8722c5a07b1fe785858e09260cf6b97ef3cc93a690b69980d1,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/new_york/rate_12p0/seed_1006.rou.xml,df0603caba031c236e2424b49557b5cca72d5f58c7112c5bbba471d1dd1062cb,rate_12,124.058085,0,1,137.0,2205.0,0.0,0.0,0.0,0.0,240.672131147541,0.0,5.184356530710761,79.95081967213115,1214.311475409836,0.0,0.0,0.0,0.0,42120,0,0,0.4159306742640076,17519,373,61,757,1006,1200.0,0,385,0.0
375,all_model,new_york,fixed_route_replay,024cd98544929d8722c5a07b1fe785858e09260cf6b97ef3cc93a690b69980d1,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/new_york/rate_12p0/seed_1007.rou.xml,aa2e9601058c48fc455e1aac24b042f82894db8f00d6365cd95f7f33fb6b5ba2,rate_12,99.212828,0,1,147.0,2322.0,0.0,0.0,0.0,0.0,255.19672131147541,0.0,5.086500687838586,83.81967213114754,1080.5573770491803,0.0,0.0,0.0,0.0,42120,0,0,0.41828110161443494,17618,334,61,757,1007,1200.0,0,375,0.0
381,all_model,new_york,fixed_route_replay,024cd98544929d8722c5a07b1fe785858e09260cf6b97ef3cc93a690b69980d1,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/new_york/rate_12p0/seed_1008.rou.xml,7d6347f6f9283cef4e40f9a5f4b7d84372e24d4b2745b2b42d2dc31a54258934,rate_12,112.288410,0,1,140.0,3307.0,0.0,0.0,0.0,0.0,247.27868852459017,0.0,5.18416108360135,79.0,1182.72131147541,0.0,0.0,0.0,0.0,42120,0,0,0.42010921177587845,17695,326,61,757,1008,1200.0,0,381,0.0
377,all_model,new_york,fixed_route_replay,024cd98544929d8722c5a07b1fe785858e09260cf6b97ef3cc93a690b69980d1,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/new_york/rate_12p0/seed_1009.rou.xml,025e71af55fa8b088c6673de18ec606840e04a071062b5ded5e6b5755ff52857,rate_12,96.424915,0,1,148.0,3889.0,0.0,0.0,0.0,0.0,242.59016393442624,0.0,5.098220942197609,80.45901639344262,1316.6065573770493,0.0,0.0,0.0,0.0,42120,0,0,0.41619183285849953,17530,352,61,757,1009,1200.0,0,377,0.0
387,all_model,new_york,fixed_route_replay,024cd98544929d8722c5a07b1fe785858e09260cf6b97ef3cc93a690b69980d1,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/new_york/rate_12p0/seed_1010.rou.xml,497b4598d9ffb537dc67814162de5896ba101f684f7c76b15172f3e8406a0373,rate_12,101.062113,0,1,146.0,2837.0,0.0,0.0,0.0,0.0,244.1639344262295,0.0,5.168959977453754,79.93442622950819,1144.311475409836,0.0,0.0,0.0,0.0,42120,0,0,0.4177825261158595,17597,372,61,757,1010,1200.0,0,387,0.0
