arrived_this_window_sum,controller,demand_map_id,demand_mode,demand_network_sha256,demand_route_file,demand_route_sha256,demand_scenario,evaluation_wall_seconds,extended_total,fixed_demand,max_global_queue,max_global_wait,max_target_queue,max_target_wait,max_tls_spillback,max_tls_starvation,mean_active_vehicles,mean_ambulance_count,mean_avg_speed_mps,mean_global_queue,mean_global_wait,mean_target_queue,mean_target_wait,mean_tls_spillback,mean_tls_starvation,policy_decisions,policy_forced_switches,policy_invalid_actions,policy_switch_rate,policy_switches,recovered_total,samples,scheduled_total,seed,sim_seconds,spawned_total,total_arrived,total_reward
301,all_model,singapore,fixed_route_replay,8116d112ca38fba7381ceb7cff41d0bfe45f388d619115ee06b40202148a841b,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/singapore/rate_18p0/seed_1001.rou.xml,d473a8a5b7ef5a0a8674a7b28c7736f92cf85b72aa2e8e119d4a3780d741c32f,rate_18,25.472948,0,1,68.0,4925.0,0.0,0.0,0.0,0.0,65.37704918032787,0.0,4.372797177878873,33.34426229508197,1154.9344262295083,0.0,0.0,0.0,0.0,1800,0,0,0.4411111111111111,794,63,61,401,1001,1200.0,0,301,0.0
322,all_model,singapore,fixed_route_replay,8116d112ca38fba7381ceb7cff41d0bfe45f388d619115ee06b40202148a841b,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/singapore/rate_18p0/seed_1002.rou.xml,e919a2e0707490f58597bda32f86443f97c0f11b6fb168f4709ef62e3ebc9835,rate_18,25.517452,0,1,53.0,1570.0,0.0,0.0,0.0,0.0,64.1639344262295,0.0,4.747703624598335,29.098360655737704,656.2295081967213,0.0,0.0,0.0,0.0,1800,0,0,0.4477777777777778,806,35,61,401,1002,1200.0,0,322,0.0
335,all_model,singapore,fixed_route_replay,8116d112ca38fba7381ceb7cff41d0bfe45f388d619115ee06b40202148a841b,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/singapore/rate_18p0/seed_1003.rou.xml,471412dcc9682d5bcd2532aa779bdaa3559bd482a5a92098b631319ffb3622d9,rate_18,16.635881,0,1,35.0,1087.0,0.0,0.0,0.0,0.0,52.14754098360656,0.0,5.813104128855863,20.0,504.0163934426229,0.0,0.0,0.0,0.0,1800,0,0,0.44333333333333336,798,54,61,401,1003,1200.0,0,335,0.0
317,all_model,singapore,fixed_route_replay,8116d112ca38fba7381ceb7cff41d0bfe45f388d619115ee06b40202148a841b,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/singapore/rate_18p0/seed_1004.rou.xml,c8b4f539e64e55147b609f511e7ea8ca62644292ffe50781d7bf0cfb3daea96e,rate_18,23.790121,0,1,51.0,4059.0,0.0,0.0,0.0,0.0,58.114754098360656,0.0,5.554297626526417,23.9672131147541,729.0983606557377,0.0,0.0,0.0,0.0,1800,0,0,0.43833333333333335,789,40,61,401,1004,1200.0,0,317,0.0
311,all_model,singapore,fixed_route_replay,8116d112ca38fba7381ceb7cff41d0bfe45f388d619115ee06b40202148a841b,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/singapore/rate_18p0/seed_1005.rou.xml,a8138bea1952c11893973dd09882f78b9422e6509b29d5046aab33bce728b8bf,rate_18,21.146590,0,1,58.0,4470.0,0.0,0.0,0.0,0.0,62.90163934426229,0.0,5.571319351382387,27.442622950819672,819.0491803278688,0.0,0.0,0.0,0.0,1800,0,0,0.43555555555555553,784,43,61,401,1005,1200.0,0,311,0.0
301,all_model,singapore,fixed_route_replay,8116d112ca38fba7381ceb7cff41d0bfe45f388d619115ee06b40202148a841b,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/singapore/rate_18p0/seed_1006.rou.xml,8c5b8f8d77fc8243ef36a516c0526a9a4c9b710376edd394cfef2e8a98864355,rate_18,16.876500,0,1,64.0,5361.0,0.0,0.0,0.0,0.0,58.704918032786885,0.0,5.387850247576233,26.59016393442623,1199.1311475409836,0.0,0.0,0.0,0.0,1800,0,0,0.4661111111111111,839,43,61,401,1006,1200.0,0,301,0.0
329,all_model,singapore,fixed_route_replay,8116d112ca38fba7381ceb7cff41d0bfe45f388d619115ee06b40202148a841b,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/singapore/rate_18p0/seed_1007.rou.xml,c5a1ff9cb58ed8dcb354f4f56781c898332253a58059273adba25e86ccf56350,rate_18,19.437015,0,1,28.0,732.0,0.0,0.0,0.0,0.0,52.08196721311475,0.0,6.214067091757636,17.65573770491803,359.8360655737705,0.0,0.0,0.0,0.0,1800,0,0,0.4638888888888889,835,51,61,401,1007,1200.0,0,329,0.0
342,all_model,singapore,fixed_route_replay,8116d112ca38fba7381ceb7cff41d0bfe45f388d619115ee06b40202148a841b,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/singapore/rate_18p0/seed_1008.rou.xml,8bcce6f16ec62a06e951f9cfa4cfb8e9bcaa4e49df2c5272b406afb349407552,rate_18,21.676445,0,1,33.0,774.0,0.0,0.0,0.0,0.0,52.78688524590164,0.0,5.898598351684451,18.42622950819672,364.73770491803276,0.0,0.0,0.0,0.0,1800,0,0,0.4477777777777778,806,43,61,401,1008,1200.0,0,342,0.0
327,all_model,singapore,fixed_route_replay,8116d112ca38fba7381ceb7cff41d0bfe45f388d619115ee06b40202148a841b,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/singapore/rate_18p0/seed_1009.rou.xml,8d5c1b244aa2de6648b4f5d4402226a3dd2258ceb3aa02539f9b3279188ef3c3,rate_18,18.212268,0,1,46.0,2672.0,0.0,0.0,0.0,0.0,56.85245901639344,0.0,5.605538375509545,23.688524590163933,618.5245901639345,0.0,0.0,0.0,0.0,1800,0,0,0.445,801,48,61,401,1009,1200.0,0,327,0.0
331,all_model,singapore,fixed_route_replay,8116d112ca38fba7381ceb7cff41d0bfe45f388d619115ee06b40202148a841b,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/singapore/rate_18p0/seed_1010.rou.xml,0dcb2c283ac797de3e3ab5130391edc333fd75ba9f3a5e32b01ab09f7bc43b68,rate_18,25.569268,0,1,46.0,3403.0,0.0,0.0,0.0,0.0,61.295081967213115,0.0,5.2782895404619286,25.081967213114755,695.2622950819672,0.0,0.0,0.0,0.0,1800,0,0,0.4494444444444444,809,75,61,401,1010,1200.0,0,331,0.0
320,all_model,singapore,fixed_route_replay,8116d112ca38fba7381ceb7cff41d0bfe45f388d619115ee06b40202148a841b,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/singapore/rate_18p0/seed_1011.rou.xml,7cc2e0a7914e1a2101dbb13327a33d194979f2e1865ecd7ce6f5ac0732a14a98,rate_18,16.899477,0,1,40.0,2353.0,0.0,0.0,0.0,0.0,57.65573770491803,0.0,5.8311846944763115,23.147540983606557,637.8688524590164,0.0,0.0,0.0,0.0,1800,0,0,0.45666666666666667,822,38,61,401,1011,1200.0,0,320,0.0
336,all_model,singapore,fixed_route_replay,8116d112ca38fba7381ceb7cff41d0bfe45f388d619115ee06b40202148a841b,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/singapore/rate_18p0/seed_1012.rou.xml,0647ca3875a5011a67d04621f751c552c10aa85790882a13c9842b75b40a61cd,rate_18,18.330882,0,1,40.0,2532.0,0.0,0.0,0.0,0.0,56.459016393442624,0.0,5.61217838908555,23.918032786885245,626.7540983606557,0.0,0.0,0.0,0.0,1800,0,0,0.4388888888888889,790,56,61,401,1012,1200.0,0,336,0.0
326,all_model,singapore,fixed_route_replay,8116d112ca38fba7381ceb7cff41d0bfe45f388d619115ee06b40202148a841b,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/singapore/rate_18p0/seed_1013.rou.xml,247dfcd5e7da8234f56721aa9a0d6a4da85351a3e00fbef54a01534698ae0d93,rate_18,17.483104,0,1,40.0,830.0,0.0,0.0,0.0,0.0,53.09836065573771,0.0,6.11637644839116,18.442622950819672,375.0163934426229,0.0,0.0,0.0,0.0,1800,0,0,0.4538888888888889,817,32,61,401,1013,1200.0,0,326,0.0
