scope,map,rate,comparison,candidate,baseline,metric,direction,n,native_mean,model_mean,aggregate_improvement_pct,mean_paired_improvement_pct,paired_delta_mean,paired_delta_sd,paired_delta_ci95_low,paired_delta_ci95_high,wins,losses,ties,ci_excludes_zero_in_favor_of_model,paired_t_pvalue,paired_effect_size_dz,holm_adjusted_pvalue,holm_significant_in_favor
condition,melbourne,12p0,learned_vs_native,all_model,native_sumo,total_arrived,higher,30,550.7666666666667,573.2333333333333,4.079162379713133,4.169108433613557,22.466666666666665,23.66684474597079,13.630313874121004,31.303019459212326,25,4,1,yes,1.4570140812515524e-05,0.9492886317468048,0.00027683267543779496,yes
condition,melbourne,12p0,learned_vs_native,all_model,native_sumo,mean_avg_speed_mps,higher,30,5.20928356188333,5.651439523691166,8.487845911155995,8.50296358451983,0.44215596180783595,0.14055620965504828,0.3896773036247899,0.494634619990882,30,0,0,yes,8.941869751724695e-17,3.145759001989104,5.007447060965829e-15,yes
condition,melbourne,12p0,learned_vs_native,all_model,native_sumo,mean_global_queue,lower,30,144.9568306010929,115.675956284153,20.199720286047096,20.124293377602648,29.28087431693989,7.4117314660793685,26.513599053132747,32.04814958074703,30,0,0,yes,1.9230899319256704e-19,3.9506118713214504,1.5192410462212797e-17,yes
condition,melbourne,12p0,learned_vs_native,all_model,native_sumo,max_global_queue,lower,30,353.26666666666665,215.1,39.11115304774486,38.94665783500755,138.16666666666666,25.591058963055335,128.61188115302556,147.72145218030775,30,0,0,yes,3.292690656739673e-23,5.399021074748477,3.457325189576656e-21,yes
condition,melbourne,12p0,learned_vs_native,all_model,native_sumo,mean_global_wait,lower,30,3176.339344262295,4073.334426229508,-28.239900865363623,-28.831049702662572,-896.9950819672132,589.4454582533269,-1117.0729198453225,-676.9172440891039,2,28,0,no,3.4575238300387296e-09,-1.5217609524471223,1.0718323873120061e-07,no
condition,melbourne,12p0,learned_vs_native,all_model,native_sumo,max_global_wait,lower,30,10264.833333333334,9926.366666666667,3.2973420578350074,2.4312828823921175,338.46666666666664,2100.679524431991,-445.8518845047268,1122.7852178380601,19,11,0,no,0.38476123634156456,0.1611224666733426,1.0,no
condition,melbourne,12p0,learned_vs_native,all_model,native_sumo,recovered_total,lower,30,851.8333333333334,334.3333333333333,60.75132068088436,60.71195610188627,517.5,41.09933299232231,502.1549800044512,532.8450199955488,30,0,0,yes,1.0334148491115515e-33,12.591445221183351,1.663797907069598e-31,yes
condition,melbourne,12p0,max_pressure_vs_native,max_pressure,native_sumo,total_arrived,higher,30,550.7666666666667,568.4666666666667,3.2137021122072347,3.2782515214881562,17.7,22.31305478398472,9.369103927161449,26.03089607283855,23,7,0,yes,0.0001557623588304112,0.7932575871549529,0.006697781429707682,yes
condition,melbourne,12p0,max_pressure_vs_native,max_pressure,native_sumo,mean_avg_speed_mps,higher,30,5.20928356188333,6.012671862238415,15.422241673183809,15.434827175554412,0.8033883003550842,0.14901837205392113,0.7477501735928147,0.8590264271173538,30,0,0,yes,3.42952430773e-23,5.391203039477471,4.3554958708171e-21,yes
condition,melbourne,12p0,max_pressure_vs_native,max_pressure,native_sumo,mean_global_queue,lower,30,144.9568306010929,110.38032786885246,23.852965457965624,23.781285174503626,34.576502732240435,9.164646911421343,31.15475157792909,37.99825388655178,30,0,0,yes,6.757303315196193e-19,3.772813406389922,7.635752746171699e-17,yes
condition,melbourne,12p0,max_pressure_vs_native,max_pressure,native_sumo,max_global_queue,lower,30,353.26666666666665,214.63333333333333,39.24325344404605,39.1323243238938,138.63333333333333,24.789435087432366,129.37784548475753,147.88882118190912,30,0,0,yes,1.2233994907463026e-23,5.592436166632011,1.5904193379701935e-21,yes
condition,melbourne,12p0,max_pressure_vs_native,max_pressure,native_sumo,mean_global_wait,lower,30,3176.339344262295,3584.212568306011,-12.840983907481217,-13.151218955075153,-407.8732240437159,661.4319834739318,-654.8282540438145,-160.91819404361723,10,20,0,no,0.0020997391816400036,-0.6166518012955914,0.06509191463084012,no
