arrived_this_window_sum,controller,demand_map_id,demand_mode,demand_network_sha256,demand_route_file,demand_route_sha256,demand_scenario,evaluation_wall_seconds,extended_total,fixed_demand,max_global_queue,max_global_wait,max_target_queue,max_target_wait,max_tls_spillback,max_tls_starvation,mean_active_vehicles,mean_ambulance_count,mean_avg_speed_mps,mean_global_queue,mean_global_wait,mean_target_queue,mean_target_wait,mean_tls_spillback,mean_tls_starvation,policy_decisions,policy_forced_switches,policy_invalid_actions,policy_switch_rate,policy_switches,recovered_total,samples,scheduled_total,seed,sim_seconds,spawned_total,total_arrived,total_reward
382,all_model,tokyo,fixed_route_replay,61c50a5069d35da901fb038a2be36624d65f8307c12fdc8ebd32b25415736391,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/tokyo/rate_6p0/seed_1001.rou.xml,c3c9a979a3f3b1b3a9a053509c009bb2fc3c9b480667e26ec94066e88fce5034,rate_6,44.021431,0,1,54.0,2303.0,0.0,0.0,0.0,0.0,116.77049180327869,0.0,7.62253798954511,25.770491803278688,661.0491803278688,0.0,0.0,0.0,0.0,10800,0,0,0.46796296296296297,5054,96,61,519,1001,1200.0,0,382,0.0
370,all_model,tokyo,fixed_route_replay,61c50a5069d35da901fb038a2be36624d65f8307c12fdc8ebd32b25415736391,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/tokyo/rate_6p0/seed_1002.rou.xml,55e9038e9ee9d5ff5c350746d75db50dfdd5fe564ed4897c20c24621772e3797,rate_6,42.782285,0,1,47.0,2105.0,0.0,0.0,0.0,0.0,112.88524590163935,0.0,7.8625293308176,22.459016393442624,564.5409836065573,0.0,0.0,0.0,0.0,10800,0,0,0.4658333333333333,5031,71,61,519,1002,1200.0,0,370,0.0
362,all_model,tokyo,fixed_route_replay,61c50a5069d35da901fb038a2be36624d65f8307c12fdc8ebd32b25415736391,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/tokyo/rate_6p0/seed_1003.rou.xml,212dfc9ea442d537845f589044942959b3411c0c793b280253683ab47d418dbd,rate_6,45.044349,0,1,48.0,2486.0,0.0,0.0,0.0,0.0,120.65573770491804,0.0,7.558394868555555,26.508196721311474,846.5737704918033,0.0,0.0,0.0,0.0,10800,0,0,0.46694444444444444,5043,58,61,519,1003,1200.0,0,362,0.0
376,all_model,tokyo,fixed_route_replay,61c50a5069d35da901fb038a2be36624d65f8307c12fdc8ebd32b25415736391,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/tokyo/rate_6p0/seed_1004.rou.xml,6a1624614bb722cb02d47ad0d529e5e4426bb1949364cfccbbeba191da6715b0,rate_6,58.559133,0,1,48.0,2170.0,0.0,0.0,0.0,0.0,123.9672131147541,0.0,7.614735924897505,27.557377049180328,761.3770491803278,0.0,0.0,0.0,0.0,10800,0,0,0.4700925925925926,5077,89,61,519,1004,1200.0,0,376,0.0
354,all_model,tokyo,fixed_route_replay,61c50a5069d35da901fb038a2be36624d65f8307c12fdc8ebd32b25415736391,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/tokyo/rate_6p0/seed_1005.rou.xml,932db1923a835d86fbc0d07a50711fbda79edab6d9e3d058be2f17a29e7cc7fe,rate_6,46.497113,0,1,57.0,2610.0,0.0,0.0,0.0,0.0,117.36065573770492,0.0,7.562704601796553,26.80327868852459,690.6065573770492,0.0,0.0,0.0,0.0,10800,0,0,0.46564814814814814,5029,70,61,519,1005,1200.0,0,354,0.0
358,all_model,tokyo,fixed_route_replay,61c50a5069d35da901fb038a2be36624d65f8307c12fdc8ebd32b25415736391,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/tokyo/rate_6p0/seed_1006.rou.xml,2c7d8497ec9aea4ed58603ea68e8c1a47b6851c08181480b9101661450e4cec3,rate_6,65.861567,0,1,52.0,2435.0,0.0,0.0,0.0,0.0,122.68852459016394,0.0,7.463433833350229,28.049180327868854,771.7868852459017,0.0,0.0,0.0,0.0,10800,0,0,0.4686111111111111,5061,74,61,519,1006,1200.0,0,358,0.0
379,all_model,tokyo,fixed_route_replay,61c50a5069d35da901fb038a2be36624d65f8307c12fdc8ebd32b25415736391,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/tokyo/rate_6p0/seed_1007.rou.xml,dca3a2a9accd0129359a85c765a5ae144c163bcc01f50513698a64ac69648d83,rate_6,59.096453,0,1,51.0,2814.0,0.0,0.0,0.0,0.0,109.19672131147541,0.0,7.933711006979004,22.19672131147541,558.0819672131148,0.0,0.0,0.0,0.0,10800,0,0,0.4687962962962963,5063,74,61,519,1007,1200.0,0,379,0.0
375,all_model,tokyo,fixed_route_replay,61c50a5069d35da901fb038a2be36624d65f8307c12fdc8ebd32b25415736391,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/tokyo/rate_6p0/seed_1008.rou.xml,8d88df1e4b39ba1aff372a5f9b62a7d8f97b8471ed5767f674b0efffca80bff6,rate_6,59.678777,0,1,42.0,1205.0,0.0,0.0,0.0,0.0,113.8688524590164,0.0,7.960267890921128,22.229508196721312,516.1967213114754,0.0,0.0,0.0,0.0,10800,0,0,0.46814814814814815,5056,76,61,519,1008,1200.0,0,375,0.0
378,all_model,tokyo,fixed_route_replay,61c50a5069d35da901fb038a2be36624d65f8307c12fdc8ebd32b25415736391,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/tokyo/rate_6p0/seed_1009.rou.xml,323d6afcbc0cafdcca6a8e3abfd9b6ae5dfbf1670997bd67dfd35b4274ad9537,rate_6,48.885352,0,1,56.0,2252.0,0.0,0.0,0.0,0.0,115.1639344262295,0.0,7.562158063583754,26.262295081967213,753.4098360655738,0.0,0.0,0.0,0.0,10800,0,0,0.46546296296296297,5027,66,61,519,1009,1200.0,0,378,0.0
366,all_model,tokyo,fixed_route_replay,61c50a5069d35da901fb038a2be36624d65f8307c12fdc8ebd32b25415736391,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/tokyo/rate_6p0/seed_1010.rou.xml,271d5091b51c2899a345bf2822ccb70e148a08ee9e5cf7063b19d9881c14bdcd,rate_6,44.567737,0,1,50.0,2789.0,0.0,0.0,0.0,0.0,118.78688524590164,0.0,7.56105959143061,27.60655737704918,827.9016393442623,0.0,0.0,0.0,0.0,10800,0,0,0.46675925925925926,5041,65,61,519,1010,1200.0,0,366,0.0
371,all_model,tokyo,fixed_route_replay,61c50a5069d35da901fb038a2be36624d65f8307c12fdc8ebd32b25415736391,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/tokyo/rate_6p0/seed_1011.rou.xml,f21a14d392488ddbf4a630ab7ca93081a3339d097216ef1d7ccd6636ec98dfe3,rate_6,52.142952,0,1,45.0,1578.0,0.0,0.0,0.0,0.0,115.06557377049181,0.0,7.8583215312180865,21.737704918032787,471.9016393442623,0.0,0.0,0.0,0.0,10800,0,0,0.46944444444444444,5070,63,61,519,1011,1200.0,0,371,0.0
356,all_model,tokyo,fixed_route_replay,61c50a5069d35da901fb038a2be36624d65f8307c12fdc8ebd32b25415736391,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/tokyo/rate_6p0/seed_1012.rou.xml,dc12180c1f38a2d24a6bf47cb936fca6887e64e616d48326e87862fe554050ea,rate_6,43.621329,0,1,60.0,4056.0,0.0,0.0,0.0,0.0,119.06557377049181,0.0,7.259046160774423,30.59016393442623,1126.8852459016393,0.0,0.0,0.0,0.0,10800,0,0,0.4689814814814815,5065,58,61,519,1012,1200.0,0,356,0.0
374,all_model,tokyo,fixed_route_replay,61c50a5069d35da901fb038a2be36624d65f8307c12fdc8ebd32b25415736391,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/tokyo/rate_6p0/seed_1013.rou.xml,52a8deff6743676c9714afd1c0f958992ecead647cf8d8dda26bdf4ad072506e,rate_6,61.676904,0,1,41.0,2079.0,0.0,0.0,0.0,0.0,107.75409836065573,0.0,7.895462377164578,19.983606557377048,531.7213114754098,0.0,0.0,0.0,0.0,10800,0,0,0.4696296296296296,5072,61,61,519,1013,1200.0,0,374,0.0
401,all_model,tokyo,fixed_route_replay,61c50a5069d35da901fb038a2be36624d65f8307c12fdc8ebd32b25415736391,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/tokyo/rate_6p0/seed_1014.rou.xml,a276bb7c54df70d405671df2e2257ec78f704b37874c0a3fbf6bf9cd59257fe0,rate_6,45.032455,0,1,39.0,1815.0,0.0,0.0,0.0,0.0,108.67213114754098,0.0,7.952121318888207,19.459016393442624,491.0655737704918,0.0,0.0,0.0,0.0,10800,0,0,0.4686111111111111,5061,65,61,519,1014,1200.0,0,401,0.0
363,all_model,tokyo,fixed_route_replay,61c50a5069d35da901fb038a2be36624d65f8307c12fdc8ebd32b25415736391,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/tokyo/rate_6p0/seed_1015.rou.xml,ad08c82cbb2ca18f63edb6f2ca6dcdde1a7d5ad9b068a1e363f41d25acda8b1b,rate_6,65.486703,0,1,54.0,3643.0,0.0,0.0,0.0,0.0,117.1639344262295,0.0,7.624917448654223,28.049180327868854,821.4426229508197,0.0,0.0,0.0,0.0,10800,0,0,0.4666666666666667,5040,81,61,519,1015,1200.0,0,363,0.0
371,all_model,tokyo,fixed_route_replay,61c50a5069d35da901fb038a2be36624d65f8307c12fdc8ebd32b25415736391,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/tokyo/rate_6p0/seed_1016.rou.xml,a52afa6a5fac844bc5cfa480cff0cf4478cbbc3dc5dae6b7abef53c306decfc2,rate_6,50.764790,0,1,51.0,1906.0,0.0,0.0,0.0,0.0,117.11475409836065,0.0,7.821415818581054,25.21311475409836,530.8196721311475,0.0,0.0,0.0,0.0,10800,0,0,0.4660185185185185,5033,86,61,519,1016,1200.0,0,371,0.0
383,all_model,tokyo,fixed_route_replay,61c50a5069d35da901fb038a2be36624d65f8307c12fdc8ebd32b25415736391,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/loops/demand/tokyo/rate_6p0/seed_1017.rou.xml,6150f06cada2db921b98a766cd17c63585e6b5bcb464fac05aff68fde6874bb1,rate_6,40.523832,0,1,47.0,1929.0,0.0,0.0,0.0,0.0,109.73770491803279,0.0,7.955810345435561,21.81967213114754,566.8032786885246,0.0,0.0,0.0,0.0,10800,0,0,0.4666666666666667,5040,62,61,519,1017,1200.0,0,383,0.0
