arrived_this_window_sum,baseline_reused,baseline_source_campaign,controller,demand_map_id,demand_mode,demand_network_sha256,demand_route_file,demand_route_sha256,demand_scenario,evaluation_wall_seconds,extended_total,fixed_demand,max_global_queue,max_global_wait,max_target_queue,max_target_wait,max_tls_spillback,max_tls_starvation,mean_active_vehicles,mean_ambulance_count,mean_avg_speed_mps,mean_global_queue,mean_global_wait,mean_target_queue,mean_target_wait,mean_tls_spillback,mean_tls_starvation,policy_decisions,policy_forced_switches,policy_invalid_actions,policy_switch_rate,policy_switches,recovered_total,samples,scheduled_total,seed,sim_seconds,spawned_total,total_arrived,total_reward
323,,,all_model,melbourne,fixed_route_replay,1b6b59263e7713467e0d746e1576eb4c07d1a154ee750e15d3694900deebd987,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/melbourne/rate_6p0/seed_1001.rou.xml,9895f45e51324e9162c202002111685b6a48e19760b2b46031d36c79a2973bb8,rate_6,83.864705,0,1,77.0,3772.0,0.0,0.0,0.0,0.0,138.13114754098362,0.0,5.974461423742143,46.73770491803279,1648.0983606557377,0.0,0.0,0.0,0.0,24120,0,0,0.4218905472636816,10176,136,61,516,1001,1200.0,0,323,0.0
286,,,all_model,melbourne,fixed_route_replay,1b6b59263e7713467e0d746e1576eb4c07d1a154ee750e15d3694900deebd987,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/melbourne/rate_6p0/seed_1002.rou.xml,8e7b13e641f1d8c6d1d9d35d10ce3cfe05a0385b3fbd49446ea7902202b576b7,rate_6,73.850581,0,1,100.0,5604.0,0.0,0.0,0.0,0.0,152.37704918032787,0.0,5.73513718871606,58.01639344262295,2456.6721311475408,0.0,0.0,0.0,0.0,24120,0,0,0.4218076285240464,10174,161,61,516,1002,1200.0,0,286,0.0
297,,,all_model,melbourne,fixed_route_replay,1b6b59263e7713467e0d746e1576eb4c07d1a154ee750e15d3694900deebd987,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/melbourne/rate_6p0/seed_1003.rou.xml,5356fce11613ea9ca2d21e49bd20b4540c9462ed75b4232e0c42e5079be030bb,rate_6,78.395945,0,1,112.0,6763.0,0.0,0.0,0.0,0.0,148.29508196721312,0.0,5.792256195040457,57.721311475409834,2268.55737704918,0.0,0.0,0.0,0.0,24120,0,0,0.42039800995024873,10140,179,61,516,1003,1200.0,0,297,0.0
314,,,all_model,melbourne,fixed_route_replay,1b6b59263e7713467e0d746e1576eb4c07d1a154ee750e15d3694900deebd987,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/melbourne/rate_6p0/seed_1004.rou.xml,7deedd02affb06444f75b9697831c75f3e6356a993b54cf4f6f7c1448f3d2728,rate_6,75.538220,0,1,85.0,4033.0,0.0,0.0,0.0,0.0,142.0,0.0,6.140130476560211,46.65573770491803,1475.344262295082,0.0,0.0,0.0,0.0,24120,0,0,0.4209369817578773,10153,149,61,516,1004,1200.0,0,314,0.0
304,,,all_model,melbourne,fixed_route_replay,1b6b59263e7713467e0d746e1576eb4c07d1a154ee750e15d3694900deebd987,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/melbourne/rate_6p0/seed_1005.rou.xml,474cbaf948afdfe931dbf16754e7390eea8e158745d9b217fab7415bd9a6730d,rate_6,103.840789,0,1,106.0,6442.0,0.0,0.0,0.0,0.0,149.14754098360655,0.0,6.02866564173461,54.540983606557376,2084.8360655737706,0.0,0.0,0.0,0.0,24120,0,0,0.4224709784411277,10190,164,61,516,1005,1200.0,0,304,0.0
289,,,all_model,melbourne,fixed_route_replay,1b6b59263e7713467e0d746e1576eb4c07d1a154ee750e15d3694900deebd987,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/melbourne/rate_6p0/seed_1006.rou.xml,644cf5c524b01ee687eb0f0f3675b12294ab219cafbcab8a90a36370ca083bcf,rate_6,131.932685,0,1,96.0,3348.0,0.0,0.0,0.0,0.0,156.18032786885246,0.0,6.10672102180884,52.24590163934426,1569.8688524590164,0.0,0.0,0.0,0.0,24120,0,0,0.4234660033167496,10214,183,61,516,1006,1200.0,0,289,0.0
317,,,all_model,melbourne,fixed_route_replay,1b6b59263e7713467e0d746e1576eb4c07d1a154ee750e15d3694900deebd987,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/melbourne/rate_6p0/seed_1007.rou.xml,bf5cbb019d9d67425362acd802a831bdb1241a1a5a35fed6a1c35ee0576fd02d,rate_6,89.310490,0,1,78.0,2743.0,0.0,0.0,0.0,0.0,142.13114754098362,0.0,6.218238800835307,46.377049180327866,1378.4426229508197,0.0,0.0,0.0,0.0,24120,0,0,0.42255389718076286,10192,176,61,516,1007,1200.0,0,317,0.0
299,,,all_model,melbourne,fixed_route_replay,1b6b59263e7713467e0d746e1576eb4c07d1a154ee750e15d3694900deebd987,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/melbourne/rate_6p0/seed_1008.rou.xml,ddb7130f0dab6f7e216cf89ea3feaf0596135f369e2833847f0677124c10bf8a,rate_6,76.742420,0,1,91.0,5166.0,0.0,0.0,0.0,0.0,148.49180327868854,0.0,6.169618474831032,50.0,1795.5901639344263,0.0,0.0,0.0,0.0,24120,0,0,0.42143449419568824,10165,186,61,516,1008,1200.0,0,299,0.0
281,,,all_model,melbourne,fixed_route_replay,1b6b59263e7713467e0d746e1576eb4c07d1a154ee750e15d3694900deebd987,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/melbourne/rate_6p0/seed_1009.rou.xml,a282cc4a5d25c3a88344a4f9d4677aade45912773c740d400a88bdc1f9f76323,rate_6,88.540536,0,1,106.0,4207.0,0.0,0.0,0.0,0.0,153.34426229508196,0.0,5.82693525409727,56.31147540983606,2006.4098360655737,0.0,0.0,0.0,0.0,24120,0,0,0.42350746268656714,10215,180,61,516,1009,1200.0,0,281,0.0
310,,,all_model,melbourne,fixed_route_replay,1b6b59263e7713467e0d746e1576eb4c07d1a154ee750e15d3694900deebd987,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/melbourne/rate_6p0/seed_1010.rou.xml,2e1df7d90f3d5b487f444091ad27511e24748e70e4a139d29fe8fc70a733c511,rate_6,93.004766,0,1,84.0,3021.0,0.0,0.0,0.0,0.0,143.36065573770492,0.0,6.217585638423515,46.36065573770492,1360.2459016393443,0.0,0.0,0.0,0.0,24120,0,0,0.42350746268656714,10215,205,61,516,1010,1200.0,0,310,0.0
