arrived_this_window_sum,baseline_reused,baseline_source_campaign,controller,demand_map_id,demand_mode,demand_network_sha256,demand_route_file,demand_route_sha256,demand_scenario,evaluation_wall_seconds,extended_total,fixed_demand,max_global_queue,max_global_wait,max_target_queue,max_target_wait,max_tls_spillback,max_tls_starvation,mean_active_vehicles,mean_ambulance_count,mean_avg_speed_mps,mean_global_queue,mean_global_wait,mean_target_queue,mean_target_wait,mean_tls_spillback,mean_tls_starvation,policy_decisions,policy_forced_switches,policy_invalid_actions,policy_switch_rate,policy_switches,recovered_total,samples,scheduled_total,seed,sim_seconds,spawned_total,total_arrived,total_reward
1152,,,all_model,mexico_city,fixed_route_replay,9dff3bd4deb87c15c698143a3b0c22410e8305799f4b15a0777435d6017f4337,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/mexico_city/rate_12p0/seed_1001.rou.xml,c50edabe4a2d260dcc58de064fda72fa925a5aa8a7d38fd3fa9db2b58994c3fc,rate_12,131.938217,0,1,393.0,23864.0,0.0,0.0,0.0,0.0,583.0655737704918,0.0,7.358990450637655,209.31147540983608,7880.573770491803,0.0,0.0,0.0,0.0,24000,0,0,0.4335833333333333,10406,872,61,2051,1001,1200.0,0,1152,0.0
1111,,,all_model,mexico_city,fixed_route_replay,9dff3bd4deb87c15c698143a3b0c22410e8305799f4b15a0777435d6017f4337,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/mexico_city/rate_12p0/seed_1002.rou.xml,34222b469555020d1311b35129044d36cc3b2b6fa5c63ffb8e35fd8cc450aa54,rate_12,127.210607,0,1,457.0,23323.0,0.0,0.0,0.0,0.0,595.3770491803278,0.0,6.991092492041037,230.88524590163934,8809.754098360656,0.0,0.0,0.0,0.0,24000,0,0,0.438125,10515,718,61,2051,1002,1200.0,0,1111,0.0
1098,,,all_model,mexico_city,fixed_route_replay,9dff3bd4deb87c15c698143a3b0c22410e8305799f4b15a0777435d6017f4337,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/mexico_city/rate_12p0/seed_1003.rou.xml,9aca15ce83efd9075252c774e5c53539a7bb5f9618895543cf98ea828792220d,rate_12,127.052652,0,1,487.0,26366.0,0.0,0.0,0.0,0.0,602.2786885245902,0.0,6.978938763557247,237.5737704918033,9404.704918032787,0.0,0.0,0.0,0.0,24000,0,0,0.43733333333333335,10496,821,61,2051,1003,1200.0,0,1098,0.0
1126,,,all_model,mexico_city,fixed_route_replay,9dff3bd4deb87c15c698143a3b0c22410e8305799f4b15a0777435d6017f4337,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/mexico_city/rate_12p0/seed_1004.rou.xml,58b41ed4a530eae7edee8a11bc9b28580ffc42c8f8128392a7d5c8d07f193b78,rate_12,144.515581,0,1,419.0,22078.0,0.0,0.0,0.0,0.0,585.2459016393443,0.0,7.1922697057972815,218.54098360655738,8395.344262295082,0.0,0.0,0.0,0.0,24000,0,0,0.4355833333333333,10454,892,61,2051,1004,1200.0,0,1126,0.0
1129,,,all_model,mexico_city,fixed_route_replay,9dff3bd4deb87c15c698143a3b0c22410e8305799f4b15a0777435d6017f4337,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/mexico_city/rate_12p0/seed_1005.rou.xml,9a02b1a8116f3d212bdf525c86564d6db86fad504849f38cc43929311ca8e0b9,rate_12,153.669904,0,1,467.0,23538.0,0.0,0.0,0.0,0.0,602.6065573770492,0.0,6.994680828153956,236.29508196721312,9446.672131147541,0.0,0.0,0.0,0.0,24000,0,0,0.43545833333333334,10451,785,61,2051,1005,1200.0,0,1129,0.0
1058,,,all_model,mexico_city,fixed_route_replay,9dff3bd4deb87c15c698143a3b0c22410e8305799f4b15a0777435d6017f4337,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/mexico_city/rate_12p0/seed_1006.rou.xml,7494f2f8f56da606ecac499f29ce1fbf1da18f3c41c225dc87b2bf3448ec51d1,rate_12,133.124547,0,1,478.0,29763.0,0.0,0.0,0.0,0.0,627.8524590163935,0.0,6.850795848340564,252.63934426229508,10482.573770491803,0.0,0.0,0.0,0.0,24000,0,0,0.437375,10497,776,61,2051,1006,1200.0,0,1058,0.0
1134,,,all_model,mexico_city,fixed_route_replay,9dff3bd4deb87c15c698143a3b0c22410e8305799f4b15a0777435d6017f4337,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/mexico_city/rate_12p0/seed_1007.rou.xml,f6538c102c8806ec2b1004e57bbfe75b93d2d9437e21b25a3dd9dea839688ba5,rate_12,121.850125,0,1,428.0,24144.0,0.0,0.0,0.0,0.0,593.2131147540983,0.0,7.084589955427499,231.19672131147541,8492.557377049181,0.0,0.0,0.0,0.0,24000,0,0,0.4387916666666667,10531,738,61,2051,1007,1200.0,0,1134,0.0
1087,,,all_model,mexico_city,fixed_route_replay,9dff3bd4deb87c15c698143a3b0c22410e8305799f4b15a0777435d6017f4337,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/mexico_city/rate_12p0/seed_1008.rou.xml,58582e046a8e44e8b70d4caa59dbc2c32e11a741cd314895e261af9fab01a2b5,rate_12,159.621654,0,1,486.0,29608.0,0.0,0.0,0.0,0.0,613.360655737705,0.0,7.213643368696691,227.55737704918033,8630.0,0.0,0.0,0.0,0.0,24000,0,0,0.44025,10566,717,61,2051,1008,1200.0,0,1087,0.0
1126,,,all_model,mexico_city,fixed_route_replay,9dff3bd4deb87c15c698143a3b0c22410e8305799f4b15a0777435d6017f4337,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/mexico_city/rate_12p0/seed_1009.rou.xml,dda75f2a01a625439d77f1d317c396d12994c972b591f08694e4870f9dd907f4,rate_12,115.941346,0,1,436.0,26916.0,0.0,0.0,0.0,0.0,588.8524590163935,0.0,7.255135454591732,215.85245901639345,8251.196721311475,0.0,0.0,0.0,0.0,24000,0,0,0.43454166666666666,10429,764,61,2051,1009,1200.0,0,1126,0.0
1139,,,all_model,mexico_city,fixed_route_replay,9dff3bd4deb87c15c698143a3b0c22410e8305799f4b15a0777435d6017f4337,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/mexico_city/rate_12p0/seed_1010.rou.xml,9f2d82b1502e7fb006d727dfc086a85b4023150fd2726399b8ec8e20e938a181,rate_12,148.755064,0,1,425.0,25439.0,0.0,0.0,0.0,0.0,597.1147540983607,0.0,7.064218811304468,231.08196721311475,9536.688524590163,0.0,0.0,0.0,0.0,24000,0,0,0.434875,10437,822,61,2051,1010,1200.0,0,1139,0.0
1125,,,all_model,mexico_city,fixed_route_replay,9dff3bd4deb87c15c698143a3b0c22410e8305799f4b15a0777435d6017f4337,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/mexico_city/rate_12p0/seed_1011.rou.xml,4459411db60a2400c73b9d515f687f7a3e346283d2f1fdc2a30ec227f3b89b0c,rate_12,176.809555,0,1,458.0,30554.0,0.0,0.0,0.0,0.0,597.0983606557377,0.0,7.0452455593028045,230.19672131147541,9176.311475409837,0.0,0.0,0.0,0.0,24000,0,0,0.4362916666666667,10471,838,61,2051,1011,1200.0,0,1125,0.0
1053,,,all_model,mexico_city,fixed_route_replay,9dff3bd4deb87c15c698143a3b0c22410e8305799f4b15a0777435d6017f4337,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/mexico_city/rate_12p0/seed_1012.rou.xml,620bcba255093add24bb9cb8442ddc19adbc6990ee4004f6a17c7542c61be579,rate_12,167.560357,0,1,499.0,27551.0,0.0,0.0,0.0,0.0,613.7704918032787,0.0,6.865393017585201,247.44262295081967,10080.77049180328,0.0,0.0,0.0,0.0,24000,0,0,0.4362916666666667,10471,840,61,2051,1012,1200.0,0,1053,0.0
1102,,,all_model,mexico_city,fixed_route_replay,9dff3bd4deb87c15c698143a3b0c22410e8305799f4b15a0777435d6017f4337,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/mexico_city/rate_12p0/seed_1013.rou.xml,5204717659eeb4e1ccd602f0baa71081aabe71ad1e4528a69de10ce41272952c,rate_12,120.971493,0,1,481.0,32730.0,0.0,0.0,0.0,0.0,607.2131147540983,0.0,6.9805140504737695,240.4262295081967,10148.95081967213,0.0,0.0,0.0,0.0,24000,0,0,0.439,10536,750,61,2051,1013,1200.0,0,1102,0.0
1127,,,all_model,mexico_city,fixed_route_replay,9dff3bd4deb87c15c698143a3b0c22410e8305799f4b15a0777435d6017f4337,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/mexico_city/rate_12p0/seed_1014.rou.xml,6442dcf6d7c0ee438399d295dcd4f236ec972d6bc1931866b7205138a4105c42,rate_12,132.824142,0,1,487.0,31427.0,0.0,0.0,0.0,0.0,584.7540983606557,0.0,7.179333020701445,224.0,8814.508196721312,0.0,0.0,0.0,0.0,24000,0,0,0.437125,10491,815,61,2051,1014,1200.0,0,1127,0.0
1114,,,all_model,mexico_city,fixed_route_replay,9dff3bd4deb87c15c698143a3b0c22410e8305799f4b15a0777435d6017f4337,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/mexico_city/rate_12p0/seed_1015.rou.xml,46d3601db0be2e31b3870c91c0cdfc84058d76479f3acbcc33ac5b2289330279,rate_12,121.063297,0,1,483.0,28277.0,0.0,0.0,0.0,0.0,599.1147540983607,0.0,6.887956419353801,244.08196721311475,9994.16393442623,0.0,0.0,0.0,0.0,24000,0,0,0.4364166666666667,10474,791,61,2051,1015,1200.0,0,1114,0.0
