arrived_this_window_sum,baseline_reused,baseline_source_campaign,controller,demand_map_id,demand_mode,demand_network_sha256,demand_route_file,demand_route_sha256,demand_scenario,evaluation_wall_seconds,extended_total,fixed_demand,max_global_queue,max_global_wait,max_target_queue,max_target_wait,max_tls_spillback,max_tls_starvation,mean_active_vehicles,mean_ambulance_count,mean_avg_speed_mps,mean_global_queue,mean_global_wait,mean_target_queue,mean_target_wait,mean_tls_spillback,mean_tls_starvation,policy_decisions,policy_forced_switches,policy_invalid_actions,policy_switch_rate,policy_switches,recovered_total,samples,scheduled_total,seed,sim_seconds,spawned_total,total_arrived,total_reward
595,,,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/montreal/rate_18p0/seed_1001.rou.xml,afd10af32668eea7721431f0f9815d179e6407fa5995859201098a2b94078612,rate_18,98.957140,0,1,217.0,13494.0,0.0,0.0,0.0,0.0,303.9836065573771,0.0,4.939951304258108,121.39344262295081,4932.3442622950815,0.0,0.0,0.0,0.0,17040,0,0,0.43421361502347416,7399,422,61,1049,1001,1200.0,0,595,0.0
550,,,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/montreal/rate_18p0/seed_1002.rou.xml,dfc6c359b706ddfbebd9565f89ea4478cd47023eff8d58871305f1319a4f1bed,rate_18,93.280731,0,1,292.0,23806.0,0.0,0.0,0.0,0.0,318.9672131147541,0.0,4.684788810784824,145.95081967213116,6918.377049180328,0.0,0.0,0.0,0.0,17040,0,0,0.4355046948356808,7421,363,61,1049,1002,1200.0,0,550,0.0
557,,,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/montreal/rate_18p0/seed_1003.rou.xml,1258702a53e44e25292e4ce45aa68cb3079f8de68851d8eef38496651f28b750,rate_18,70.079211,0,1,304.0,21431.0,0.0,0.0,0.0,0.0,314.88524590163934,0.0,4.773676428816987,145.27868852459017,7112.131147540984,0.0,0.0,0.0,0.0,17040,0,0,0.4345070422535211,7404,276,61,1049,1003,1200.0,0,557,0.0
560,,,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/montreal/rate_18p0/seed_1004.rou.xml,3e082942a4d6b9ccfe4a0b801d4385f7da0a83683cdb8fc021586acbadf5034b,rate_18,88.532534,0,1,262.0,15453.0,0.0,0.0,0.0,0.0,308.7704918032787,0.0,4.6814080258558315,139.52459016393442,6226.6557377049185,0.0,0.0,0.0,0.0,17040,0,0,0.4327464788732394,7374,410,61,1049,1004,1200.0,0,560,0.0
591,,,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/montreal/rate_18p0/seed_1005.rou.xml,634c363ce6bd8dfd535e626ff8a72772d336ca33479d15f8b341c784d0017008,rate_18,70.165039,0,1,233.0,14354.0,0.0,0.0,0.0,0.0,300.9672131147541,0.0,4.8551839493370945,128.91803278688525,5376.672131147541,0.0,0.0,0.0,0.0,17040,0,0,0.4365610328638498,7439,388,61,1049,1005,1200.0,0,591,0.0
578,,,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/montreal/rate_18p0/seed_1006.rou.xml,27a34aeab340633155713fb494b2e5866a65d6d228957e2bf142c241febdb96d,rate_18,71.212349,0,1,247.0,13385.0,0.0,0.0,0.0,0.0,304.9016393442623,0.0,4.866582644696047,133.31147540983608,5645.360655737705,0.0,0.0,0.0,0.0,17040,0,0,0.4381455399061033,7466,381,61,1049,1006,1200.0,0,578,0.0
584,,,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/montreal/rate_18p0/seed_1007.rou.xml,910900ae19a4a4bf9fc3d33c57527337d0ebcb1bb693a53cd1e1c0b4bcbad29e,rate_18,87.303997,0,1,247.0,12517.0,0.0,0.0,0.0,0.0,302.40983606557376,0.0,4.840335834665358,133.0327868852459,5830.311475409836,0.0,0.0,0.0,0.0,17040,0,0,0.4395539906103286,7490,344,61,1049,1007,1200.0,0,584,0.0
560,,,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/montreal/rate_18p0/seed_1008.rou.xml,bf9990f76d7a14c9ddded120550a12f45a5c9568b8d758f9867a40c4435048d6,rate_18,116.162608,0,1,272.0,18839.0,0.0,0.0,0.0,0.0,310.3606557377049,0.0,4.841449716173568,134.68852459016392,5587.295081967213,0.0,0.0,0.0,0.0,17040,0,0,0.4365023474178404,7438,392,61,1049,1008,1200.0,0,560,0.0
558,,,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/montreal/rate_18p0/seed_1009.rou.xml,71362af239bafb7f2c732fa77fc913cb0a061f7221b58dae9092c72d3e7cbd38,rate_18,82.966052,0,1,261.0,18817.0,0.0,0.0,0.0,0.0,314.3606557377049,0.0,4.731686639665928,143.01639344262296,6676.868852459016,0.0,0.0,0.0,0.0,17040,0,0,0.43990610328638496,7496,329,61,1049,1009,1200.0,0,558,0.0
576,,,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/montreal/rate_18p0/seed_1010.rou.xml,ed0de8414384f615b0907af4b9e377a44dc6d1770e6d5dc451a20dcf7bc97cb7,rate_18,112.021789,0,1,263.0,14811.0,0.0,0.0,0.0,0.0,309.78688524590166,0.0,4.723692724551652,137.9016393442623,5876.0327868852455,0.0,0.0,0.0,0.0,17040,0,0,0.43620892018779345,7433,390,61,1049,1010,1200.0,0,576,0.0
566,,,all_model,montreal,fixed_route_replay,cbe157f9783a0e59199216130635ec72e5d915bf971a38e12b76d84ded399ace,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/montreal/rate_18p0/seed_1011.rou.xml,c72e96c9e006471c6d3d6e03230d379ef8c97cf1a0019fd19b64e5ad37079906,rate_18,72.230443,0,1,243.0,12051.0,0.0,0.0,0.0,0.0,315.0,0.0,4.760261026114878,134.55737704918033,5505.868852459016,0.0,0.0,0.0,0.0,17040,0,0,0.44072769953051644,7510,316,61,1049,1011,1200.0,0,566,0.0
