arrived_this_window_sum,baseline_reused,baseline_source_campaign,controller,demand_map_id,demand_mode,demand_network_sha256,demand_route_file,demand_route_sha256,demand_scenario,evaluation_wall_seconds,extended_total,fixed_demand,max_global_queue,max_global_wait,max_target_queue,max_target_wait,max_tls_spillback,max_tls_starvation,mean_active_vehicles,mean_ambulance_count,mean_avg_speed_mps,mean_global_queue,mean_global_wait,mean_target_queue,mean_target_wait,mean_tls_spillback,mean_tls_starvation,policy_decisions,policy_forced_switches,policy_invalid_actions,policy_switch_rate,policy_switches,recovered_total,samples,scheduled_total,seed,sim_seconds,spawned_total,total_arrived,total_reward
192,,,all_model,new_york,fixed_route_replay,024cd98544929d8722c5a07b1fe785858e09260cf6b97ef3cc93a690b69980d1,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/new_york/rate_6p0/seed_1001.rou.xml,b8602c784a5b2bfc2b14d73a9ea003c29753e34fed989c7d774ab157db4cd978,rate_6,85.720870,0,1,73.0,1154.0,0.0,0.0,0.0,0.0,125.9672131147541,0.0,5.122315579074162,39.295081967213115,497.0983606557377,0.0,0.0,0.0,0.0,42120,0,0,0.39316239316239315,16560,185,61,379,1001,1200.0,0,192,0.0
187,,,all_model,new_york,fixed_route_replay,024cd98544929d8722c5a07b1fe785858e09260cf6b97ef3cc93a690b69980d1,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/new_york/rate_6p0/seed_1002.rou.xml,f926cc02b07e30da94771011b6e9178d12adc070d566832c7124d65eebcff634,rate_6,139.908631,0,1,99.0,1973.0,0.0,0.0,0.0,0.0,125.68852459016394,0.0,4.959286754998084,43.85245901639344,765.655737704918,0.0,0.0,0.0,0.0,42120,0,0,0.38729819563152895,16313,161,61,379,1002,1200.0,0,187,0.0
205,,,all_model,new_york,fixed_route_replay,024cd98544929d8722c5a07b1fe785858e09260cf6b97ef3cc93a690b69980d1,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/new_york/rate_6p0/seed_1003.rou.xml,5edc5ce240ea4c07c98f57953e380e2f2f9e9e3e43f3c889b40bcc9bdd17805c,rate_6,117.928812,0,1,73.0,1232.0,0.0,0.0,0.0,0.0,121.39344262295081,0.0,5.085991585576865,40.49180327868852,586.8032786885246,0.0,0.0,0.0,0.0,42120,0,0,0.3922127255460589,16520,189,61,379,1003,1200.0,0,205,0.0
194,,,all_model,new_york,fixed_route_replay,024cd98544929d8722c5a07b1fe785858e09260cf6b97ef3cc93a690b69980d1,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/new_york/rate_6p0/seed_1004.rou.xml,6b7e660713d88012c0aad8483a709d6fe4e29b6e44a7adc6a8ed44ccd78c630f,rate_6,87.386551,0,1,74.0,1151.0,0.0,0.0,0.0,0.0,123.11475409836065,0.0,5.08203736228292,41.65573770491803,576.1311475409836,0.0,0.0,0.0,0.0,42120,0,0,0.39330484330484333,16566,172,61,379,1004,1200.0,0,194,0.0
182,,,all_model,new_york,fixed_route_replay,024cd98544929d8722c5a07b1fe785858e09260cf6b97ef3cc93a690b69980d1,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/new_york/rate_6p0/seed_1005.rou.xml,35ef175d5534f2ea5ffb37169bab394378ec9a807fa16e0602c8ba5970611d90,rate_6,85.385793,0,1,90.0,1531.0,0.0,0.0,0.0,0.0,126.65573770491804,0.0,5.139330227119568,41.47540983606557,671.1475409836065,0.0,0.0,0.0,0.0,42120,0,0,0.38848528015194683,16363,163,61,379,1005,1200.0,0,182,0.0
200,,,all_model,new_york,fixed_route_replay,024cd98544929d8722c5a07b1fe785858e09260cf6b97ef3cc93a690b69980d1,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/new_york/rate_6p0/seed_1006.rou.xml,1493aa409811caf6a2f46d33a474fc2aa1edf42b4a6bc83b4185352290b8745f,rate_6,89.435241,0,1,77.0,1500.0,0.0,0.0,0.0,0.0,119.29508196721312,0.0,5.252427776018002,38.721311475409834,580.9344262295082,0.0,0.0,0.0,0.0,42120,0,0,0.3870607787274454,16303,192,61,379,1006,1200.0,0,200,0.0
190,,,all_model,new_york,fixed_route_replay,024cd98544929d8722c5a07b1fe785858e09260cf6b97ef3cc93a690b69980d1,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/new_york/rate_6p0/seed_1007.rou.xml,814c24ae3d804c7033e08db967ffb084e36ca60e4cc0efd429b094e9c8794f45,rate_6,89.249968,0,1,72.0,1334.0,0.0,0.0,0.0,0.0,124.59016393442623,0.0,5.23561675702148,39.98360655737705,536.5573770491803,0.0,0.0,0.0,0.0,42120,0,0,0.3918566001899335,16505,167,61,379,1007,1200.0,0,190,0.0
192,,,all_model,new_york,fixed_route_replay,024cd98544929d8722c5a07b1fe785858e09260cf6b97ef3cc93a690b69980d1,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/new_york/rate_6p0/seed_1008.rou.xml,38ca77463f271be5d8532f0b9962b14f77b15bf62c069f48d1004c5417b32928,rate_6,119.094384,0,1,68.0,1194.0,0.0,0.0,0.0,0.0,122.47540983606558,0.0,5.205062112009566,38.295081967213115,538.4426229508197,0.0,0.0,0.0,0.0,42120,0,0,0.3925925925925926,16536,157,61,379,1008,1200.0,0,192,0.0
197,,,all_model,new_york,fixed_route_replay,024cd98544929d8722c5a07b1fe785858e09260cf6b97ef3cc93a690b69980d1,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/new_york/rate_6p0/seed_1009.rou.xml,2b4e3337fc0c68890f95eb783874a1b408cb14981209dd9d19530b06908d0841,rate_6,84.502227,0,1,74.0,1032.0,0.0,0.0,0.0,0.0,122.57377049180327,0.0,5.178808354396123,38.36065573770492,490.672131147541,0.0,0.0,0.0,0.0,42120,0,0,0.39057454890788224,16451,178,61,379,1009,1200.0,0,197,0.0
195,,,all_model,new_york,fixed_route_replay,024cd98544929d8722c5a07b1fe785858e09260cf6b97ef3cc93a690b69980d1,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/new_york/rate_6p0/seed_1010.rou.xml,128a38a228b2c763ff4907535d308160a6d55a6081ea24231459d4d3c7e2c8a0,rate_6,119.982786,0,1,69.0,1270.0,0.0,0.0,0.0,0.0,122.81967213114754,0.0,5.2966423200866455,38.24590163934426,530.2295081967213,0.0,0.0,0.0,0.0,42120,0,0,0.3897673314339981,16417,180,61,379,1010,1200.0,0,195,0.0
