arrived_this_window_sum,baseline_reused,baseline_source_campaign,controller,demand_map_id,demand_mode,demand_network_sha256,demand_route_file,demand_route_sha256,demand_scenario,evaluation_wall_seconds,extended_total,fixed_demand,max_global_queue,max_global_wait,max_target_queue,max_target_wait,max_tls_spillback,max_tls_starvation,mean_active_vehicles,mean_ambulance_count,mean_avg_speed_mps,mean_global_queue,mean_global_wait,mean_target_queue,mean_target_wait,mean_tls_spillback,mean_tls_starvation,policy_decisions,policy_forced_switches,policy_invalid_actions,policy_switch_rate,policy_switches,recovered_total,samples,scheduled_total,seed,sim_seconds,spawned_total,total_arrived,total_reward
119,,,all_model,singapore,fixed_route_replay,8116d112ca38fba7381ceb7cff41d0bfe45f388d619115ee06b40202148a841b,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/singapore/rate_6p0/seed_1001.rou.xml,2e17bb42f70c6cbd625ccb71043f5444d4bf587d7d5787a2f5ac9fdfa540bada,rate_6,22.305219,0,1,10.0,245.0,0.0,0.0,0.0,0.0,15.21311475409836,0.0,5.976135944194507,4.80327868852459,86.0327868852459,0.0,0.0,0.0,0.0,1800,0,0,0.43666666666666665,786,19,61,134,1001,1200.0,0,119,0.0
116,,,all_model,singapore,fixed_route_replay,8116d112ca38fba7381ceb7cff41d0bfe45f388d619115ee06b40202148a841b,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/singapore/rate_6p0/seed_1002.rou.xml,1a7afa901e6fa0d5349f530ca3f0b389012b63abf5d2ce15a5c8458b61a2b126,rate_6,15.458233,0,1,13.0,274.0,0.0,0.0,0.0,0.0,16.524590163934427,0.0,7.269045648912301,5.278688524590164,88.93442622950819,0.0,0.0,0.0,0.0,1800,0,0,0.435,783,9,61,134,1002,1200.0,0,116,0.0
118,,,all_model,singapore,fixed_route_replay,8116d112ca38fba7381ceb7cff41d0bfe45f388d619115ee06b40202148a841b,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/singapore/rate_6p0/seed_1003.rou.xml,dc008fc2df718fd10346a2063d8d13347652ef57aa8b3ab351c652bdc8a690b1,rate_6,19.623745,0,1,10.0,300.0,0.0,0.0,0.0,0.0,15.573770491803279,0.0,6.6377471329072,5.098360655737705,108.06557377049181,0.0,0.0,0.0,0.0,1800,0,0,0.43555555555555553,784,18,61,134,1003,1200.0,0,118,0.0
119,,,all_model,singapore,fixed_route_replay,8116d112ca38fba7381ceb7cff41d0bfe45f388d619115ee06b40202148a841b,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/singapore/rate_6p0/seed_1004.rou.xml,137c4f221b9858ea7c2ac98afc6668beef4c921c0bf407eb5f6922dafb4371b2,rate_6,15.710261,0,1,9.0,222.0,0.0,0.0,0.0,0.0,16.081967213114755,0.0,7.627869575909825,4.147540983606557,72.78688524590164,0.0,0.0,0.0,0.0,1800,0,0,0.4483333333333333,807,9,61,134,1004,1200.0,0,119,0.0
119,,,all_model,singapore,fixed_route_replay,8116d112ca38fba7381ceb7cff41d0bfe45f388d619115ee06b40202148a841b,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/singapore/rate_6p0/seed_1005.rou.xml,d03cbe012f69f9b8a8314f9d89f929a67c5f79dfa93225aad4ead790ae6fdff7,rate_6,20.822229,0,1,10.0,297.0,0.0,0.0,0.0,0.0,15.21311475409836,0.0,7.383190214274171,4.032786885245901,71.95081967213115,0.0,0.0,0.0,0.0,1800,0,0,0.4361111111111111,785,10,61,134,1005,1200.0,0,119,0.0
120,,,all_model,singapore,fixed_route_replay,8116d112ca38fba7381ceb7cff41d0bfe45f388d619115ee06b40202148a841b,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/singapore/rate_6p0/seed_1006.rou.xml,2ad5074850cb48c6bdc56907e6c46ef4fae3ac9ac31bca876b9623319b341aff,rate_6,19.694260,0,1,8.0,329.0,0.0,0.0,0.0,0.0,14.770491803278688,0.0,7.593790513005201,3.8524590163934427,86.06557377049181,0.0,0.0,0.0,0.0,1800,0,0,0.4438888888888889,799,10,61,134,1006,1200.0,0,120,0.0
115,,,all_model,singapore,fixed_route_replay,8116d112ca38fba7381ceb7cff41d0bfe45f388d619115ee06b40202148a841b,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/singapore/rate_6p0/seed_1007.rou.xml,d935530f4d23c137652dc548383c1a25d6c0a821f23bf653e2b0cfa4057c59be,rate_6,15.474116,0,1,10.0,214.0,0.0,0.0,0.0,0.0,15.459016393442623,0.0,7.017825061163652,4.327868852459017,72.31147540983606,0.0,0.0,0.0,0.0,1800,0,0,0.45166666666666666,813,15,61,134,1007,1200.0,0,115,0.0
120,,,all_model,singapore,fixed_route_replay,8116d112ca38fba7381ceb7cff41d0bfe45f388d619115ee06b40202148a841b,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/singapore/rate_6p0/seed_1008.rou.xml,998bbd9faf83a5d9914325e3a262cdf5ca10279c3ef036e87b05cb987766785d,rate_6,16.124877,0,1,10.0,341.0,0.0,0.0,0.0,0.0,15.245901639344263,0.0,7.048994703838796,3.9344262295081966,79.45901639344262,0.0,0.0,0.0,0.0,1800,0,0,0.44166666666666665,795,17,61,134,1008,1200.0,0,120,0.0
114,,,all_model,singapore,fixed_route_replay,8116d112ca38fba7381ceb7cff41d0bfe45f388d619115ee06b40202148a841b,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/singapore/rate_6p0/seed_1009.rou.xml,e99676c4445a3b2023fb4b4e20a4be114b5ab2953fb32513b7fb5159b91ed161,rate_6,22.313140,0,1,10.0,397.0,0.0,0.0,0.0,0.0,15.459016393442623,0.0,7.2029044552323525,4.590163934426229,99.04918032786885,0.0,0.0,0.0,0.0,1800,0,0,0.43222222222222223,778,12,61,134,1009,1200.0,0,114,0.0
118,,,all_model,singapore,fixed_route_replay,8116d112ca38fba7381ceb7cff41d0bfe45f388d619115ee06b40202148a841b,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/singapore/rate_6p0/seed_1010.rou.xml,c9c64386fbf383b2d1455c134a182beb6bfdd22f5fe00522e3b131be52e20378,rate_6,17.285870,0,1,10.0,233.0,0.0,0.0,0.0,0.0,15.098360655737705,0.0,7.11125831726708,4.147540983606557,60.98360655737705,0.0,0.0,0.0,0.0,1800,0,0,0.43944444444444447,791,19,61,134,1010,1200.0,0,118,0.0
