scope,map,rate,comparison,candidate,baseline,metric,direction,n,native_mean,model_mean,aggregate_improvement_pct,mean_paired_improvement_pct,paired_delta_mean,paired_delta_sd,paired_delta_ci95_low,paired_delta_ci95_high,wins,losses,ties,ci_excludes_zero_in_favor_of_model,paired_t_pvalue,paired_effect_size_dz,holm_adjusted_pvalue,holm_significant_in_favor
condition,melbourne,12p0,learned_vs_native,all_model,native_sumo,total_arrived,higher,30,550.7666666666667,567.6666666666666,3.068450039339099,3.119969964833308,16.9,21.398275792608892,8.910649662630984,24.889350337369013,23,7,0,yes,0.00016413553441140983,0.7897832593520162,0.002790304084993967,yes
condition,melbourne,12p0,learned_vs_native,all_model,native_sumo,mean_avg_speed_mps,higher,30,5.20928356188333,5.603129746954116,7.560467392341329,7.574496289814277,0.39384618507078656,0.15443514791395363,0.3361856280686119,0.4515067420729612,30,0,0,yes,2.0800690048320563e-14,2.5502367200128897,8.736289820294636e-13,yes
condition,melbourne,12p0,learned_vs_native,all_model,native_sumo,mean_global_queue,lower,30,144.9568306010929,119.20819672131147,17.76296692816026,17.676854290970905,25.74863387978142,8.605502999651659,22.53564705038255,28.961620709180288,30,0,0,yes,3.351457634666764e-16,2.9921125913062485,1.6422142409867145e-14,yes
condition,melbourne,12p0,learned_vs_native,all_model,native_sumo,max_global_queue,lower,30,353.26666666666665,222.13333333333333,37.12021136063408,36.99066658497664,131.13333333333333,23.473731956253207,122.36908194496777,139.89758472169888,30,0,0,yes,1.2612597216167418e-23,5.586386245600819,1.2234219299682395e-21,yes
condition,melbourne,12p0,learned_vs_native,all_model,native_sumo,mean_global_wait,lower,30,3176.339344262295,4416.974863387978,-39.05865792856024,-39.781681053827086,-1240.6355191256832,601.1353501754968,-1465.077944266681,-1016.1930939846854,0,30,0,no,3.813415619153349e-12,-2.063820600075323,1.4109637790867393e-10,no
condition,melbourne,12p0,learned_vs_native,all_model,native_sumo,max_global_wait,lower,30,10264.833333333334,11248.633333333333,-9.58417899300199,-10.625523617153094,-983.8,2575.1270795558944,-1945.26028779217,-22.33971220782996,11,19,0,no,0.045255173941202986,-0.3820393982924003,0.49780691335323285,no
condition,melbourne,12p0,learned_vs_native,all_model,native_sumo,recovered_total,lower,30,851.8333333333334,336.8666666666667,60.45392291136764,60.40735638391561,514.9666666666667,40.144122542567096,499.9782880661057,529.9550452672277,30,0,0,yes,6.0430835631565665e-34,12.827946759095761,9.789795372313638e-32,yes
condition,melbourne,12p0,max_pressure_vs_native,max_pressure,native_sumo,total_arrived,higher,30,550.7666666666667,568.4666666666667,3.2137021122072347,3.2782515214881562,17.7,22.31305478398472,9.369103927161449,26.03089607283855,23,7,0,yes,0.0001557623588304112,0.7932575871549529,0.006697781429707682,yes
condition,melbourne,12p0,max_pressure_vs_native,max_pressure,native_sumo,mean_avg_speed_mps,higher,30,5.20928356188333,6.012671862238415,15.422241673183809,15.434827175554412,0.8033883003550842,0.14901837205392113,0.7477501735928147,0.8590264271173538,30,0,0,yes,3.42952430773e-23,5.391203039477471,4.3554958708171e-21,yes
condition,melbourne,12p0,max_pressure_vs_native,max_pressure,native_sumo,mean_global_queue,lower,30,144.9568306010929,110.38032786885246,23.852965457965624,23.781285174503626,34.576502732240435,9.164646911421343,31.15475157792909,37.99825388655178,30,0,0,yes,6.757303315196193e-19,3.772813406389922,7.635752746171699e-17,yes
condition,melbourne,12p0,max_pressure_vs_native,max_pressure,native_sumo,max_global_queue,lower,30,353.26666666666665,214.63333333333333,39.24325344404605,39.1323243238938,138.63333333333333,24.789435087432366,129.37784548475753,147.88882118190912,30,0,0,yes,1.2233994907463026e-23,5.592436166632011,1.5904193379701935e-21,yes
