arrived_this_window_sum,baseline_reused,baseline_source_campaign,controller,demand_map_id,demand_mode,demand_network_sha256,demand_route_file,demand_route_sha256,demand_scenario,evaluation_wall_seconds,extended_total,fixed_demand,max_global_queue,max_global_wait,max_target_queue,max_target_wait,max_tls_spillback,max_tls_starvation,mean_active_vehicles,mean_ambulance_count,mean_avg_speed_mps,mean_global_queue,mean_global_wait,mean_target_queue,mean_target_wait,mean_tls_spillback,mean_tls_starvation,policy_decisions,policy_forced_switches,policy_invalid_actions,policy_switch_rate,policy_switches,recovered_total,samples,scheduled_total,seed,sim_seconds,spawned_total,total_arrived,total_reward
443,,,all_model,sydney,fixed_route_replay,5d6bf4052f31ff08d4001d6a49df983064a06dcb515035aa0ef60210b7eeeb93,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/sydney/rate_6p0/seed_1001.rou.xml,c6e04e6c4d2952049b86bdf348f48d46cf52bcaa008cd9a95adada515a48b9e0,rate_6,96.175121,0,1,119.0,4793.0,0.0,0.0,0.0,0.0,189.7704918032787,0.0,6.48042831669478,67.8360655737705,2171.1311475409834,0.0,0.0,0.0,0.0,25560,0,0,0.4359546165884194,11143,301,61,704,1001,1200.0,0,443,0.0
447,,,all_model,sydney,fixed_route_replay,5d6bf4052f31ff08d4001d6a49df983064a06dcb515035aa0ef60210b7eeeb93,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/sydney/rate_6p0/seed_1002.rou.xml,323534cb73582b5a5d8a10a418d12285cfac81e25847da816be89d0c2f57a208,rate_6,95.885879,0,1,110.0,4190.0,0.0,0.0,0.0,0.0,187.04918032786884,0.0,6.405611608591012,66.55737704918033,2153.6721311475408,0.0,0.0,0.0,0.0,25560,0,0,0.4350547730829421,11120,270,61,704,1002,1200.0,0,447,0.0
427,,,all_model,sydney,fixed_route_replay,5d6bf4052f31ff08d4001d6a49df983064a06dcb515035aa0ef60210b7eeeb93,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/sydney/rate_6p0/seed_1003.rou.xml,ed83a1601399bfd059e6dde5bd7f752ac014a0204abc0886acc383179b133fcd,rate_6,91.552428,0,1,106.0,3793.0,0.0,0.0,0.0,0.0,186.47540983606558,0.0,6.35649833659234,62.22950819672131,1903.311475409836,0.0,0.0,0.0,0.0,25560,0,0,0.43802816901408453,11196,247,61,704,1003,1200.0,0,427,0.0
426,,,all_model,sydney,fixed_route_replay,5d6bf4052f31ff08d4001d6a49df983064a06dcb515035aa0ef60210b7eeeb93,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/sydney/rate_6p0/seed_1004.rou.xml,51ed36f069cd31b619830735884a2497ad8a1570f25e15bad31a5105c1ed6abd,rate_6,130.409784,0,1,120.0,4730.0,0.0,0.0,0.0,0.0,202.9672131147541,0.0,6.388462762785637,69.37704918032787,2176.3934426229507,0.0,0.0,0.0,0.0,25560,0,0,0.4341158059467919,11096,279,61,704,1004,1200.0,0,426,0.0
428,,,all_model,sydney,fixed_route_replay,5d6bf4052f31ff08d4001d6a49df983064a06dcb515035aa0ef60210b7eeeb93,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/sydney/rate_6p0/seed_1005.rou.xml,a58aa4cd118f03e99b29d5d9a6ca1cf10ac5936f3cad81fbe8feffef158f3857,rate_6,95.737811,0,1,122.0,5032.0,0.0,0.0,0.0,0.0,193.78688524590163,0.0,6.161339185306418,69.47540983606558,2170.8032786885246,0.0,0.0,0.0,0.0,25560,0,0,0.43677621283255086,11164,312,61,704,1005,1200.0,0,428,0.0
438,,,all_model,sydney,fixed_route_replay,5d6bf4052f31ff08d4001d6a49df983064a06dcb515035aa0ef60210b7eeeb93,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/sydney/rate_6p0/seed_1006.rou.xml,f690fe1c8b16dcc03f96637ab32ffb29ee687637322a6977c40d7f461f2bfc80,rate_6,95.611060,0,1,112.0,4347.0,0.0,0.0,0.0,0.0,189.44262295081967,0.0,6.304596083987306,65.04918032786885,1851.2622950819673,0.0,0.0,0.0,0.0,25560,0,0,0.43423317683881063,11099,254,61,704,1006,1200.0,0,438,0.0
435,,,all_model,sydney,fixed_route_replay,5d6bf4052f31ff08d4001d6a49df983064a06dcb515035aa0ef60210b7eeeb93,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/sydney/rate_6p0/seed_1007.rou.xml,2cadb4283c4bbb16c2f9bc8c849009c9422ac949082a5e5a326cd2de8a08cfc8,rate_6,125.497297,0,1,121.0,5364.0,0.0,0.0,0.0,0.0,190.95081967213116,0.0,6.2428843716980875,68.98360655737704,2338.655737704918,0.0,0.0,0.0,0.0,25560,0,0,0.43740219092331767,11180,245,61,704,1007,1200.0,0,435,0.0
421,,,all_model,sydney,fixed_route_replay,5d6bf4052f31ff08d4001d6a49df983064a06dcb515035aa0ef60210b7eeeb93,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/sydney/rate_6p0/seed_1008.rou.xml,7b8d0c58fe910a33383e0fe56fb437f00c37969cb5c25c35124f03fb4a90eba5,rate_6,138.274429,0,1,129.0,6412.0,0.0,0.0,0.0,0.0,196.9344262295082,0.0,6.450321781467893,71.55737704918033,2240.622950819672,0.0,0.0,0.0,0.0,25560,0,0,0.4393192488262911,11229,256,61,704,1008,1200.0,0,421,0.0
441,,,all_model,sydney,fixed_route_replay,5d6bf4052f31ff08d4001d6a49df983064a06dcb515035aa0ef60210b7eeeb93,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/sydney/rate_6p0/seed_1009.rou.xml,51d844dc0a38fe3c869ee89f2af28822f9251d8cd37e6a3f8951bd69a1b2cf5e,rate_6,137.849497,0,1,100.0,3816.0,0.0,0.0,0.0,0.0,190.19672131147541,0.0,6.520180210763019,63.868852459016395,1886.5081967213114,0.0,0.0,0.0,0.0,25560,0,0,0.43552425665101724,11132,285,61,704,1009,1200.0,0,441,0.0
402,,,all_model,sydney,fixed_route_replay,5d6bf4052f31ff08d4001d6a49df983064a06dcb515035aa0ef60210b7eeeb93,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/sydney/rate_6p0/seed_1010.rou.xml,409ac9d77b7df1720d7df7fe7d749186b71ceb218b9e844fc4b953fce53e9c10,rate_6,95.618811,0,1,138.0,7460.0,0.0,0.0,0.0,0.0,208.04918032786884,0.0,5.951900800670127,81.78688524590164,2897.9836065573772,0.0,0.0,0.0,0.0,25560,0,0,0.43689358372456966,11167,265,61,704,1010,1200.0,0,402,0.0
