arrived_this_window_sum,baseline_reused,baseline_source_campaign,controller,demand_map_id,demand_mode,demand_network_sha256,demand_route_file,demand_route_sha256,demand_scenario,evaluation_wall_seconds,extended_total,fixed_demand,max_global_queue,max_global_wait,max_target_queue,max_target_wait,max_tls_spillback,max_tls_starvation,mean_active_vehicles,mean_ambulance_count,mean_avg_speed_mps,mean_global_queue,mean_global_wait,mean_target_queue,mean_target_wait,mean_tls_spillback,mean_tls_starvation,policy_decisions,policy_forced_switches,policy_invalid_actions,policy_switch_rate,policy_switches,recovered_total,samples,scheduled_total,seed,sim_seconds,spawned_total,total_arrived,total_reward
1098,,,all_model,toronto,fixed_route_replay,ba8c58622238bedf041f5fe389a5bd27c0f671c20039939f810105da37d34a97,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/toronto/rate_18p0/seed_1001.rou.xml,b099755246d0f4f3cb9aae5ecf3ee8afb34eb8379edf88a2c3abbffaa355fb7c,rate_18,158.873511,0,1,251.0,8821.0,0.0,0.0,0.0,0.0,480.42622950819674,0.0,6.326045713766084,137.54098360655738,3240.967213114754,0.0,0.0,0.0,0.0,25560,0,0,0.4671752738654147,11941,973,61,1796,1001,1200.0,0,1098,0.0
1120,,,all_model,toronto,fixed_route_replay,ba8c58622238bedf041f5fe389a5bd27c0f671c20039939f810105da37d34a97,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/toronto/rate_18p0/seed_1002.rou.xml,3ad112ea0d3c95b7217e4792b8b3e8393016283b4e641c5d91c27242a8ef7c50,rate_18,170.144744,0,1,275.0,13647.0,0.0,0.0,0.0,0.0,487.44262295081967,0.0,6.111997948359982,155.4262295081967,4522.704918032787,0.0,0.0,0.0,0.0,25560,0,0,0.4670970266040689,11939,879,61,1796,1002,1200.0,0,1120,0.0
1114,,,all_model,toronto,fixed_route_replay,ba8c58622238bedf041f5fe389a5bd27c0f671c20039939f810105da37d34a97,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/toronto/rate_18p0/seed_1003.rou.xml,c7d993fe615fa24ffb6ee4c662b31d6335578e9e496e9c853ed5824aa5e3954e,rate_18,186.776779,0,1,251.0,9738.0,0.0,0.0,0.0,0.0,481.26229508196724,0.0,6.308516768315773,138.81967213114754,3364.2295081967213,0.0,0.0,0.0,0.0,25560,0,0,0.46674491392801254,11930,811,61,1796,1003,1200.0,0,1114,0.0
1140,,,all_model,toronto,fixed_route_replay,ba8c58622238bedf041f5fe389a5bd27c0f671c20039939f810105da37d34a97,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/toronto/rate_18p0/seed_1004.rou.xml,96999aaaaa639f5f2e0326f723ba83a8e5b9f6dd48754e1378f1759ded61e23b,rate_18,154.023602,0,1,220.0,6867.0,0.0,0.0,0.0,0.0,479.6393442622951,0.0,6.483245901546983,137.8360655737705,3072.754098360656,0.0,0.0,0.0,0.0,25560,0,0,0.4649452269170579,11884,932,61,1796,1004,1200.0,0,1140,0.0
1132,,,all_model,toronto,fixed_route_replay,ba8c58622238bedf041f5fe389a5bd27c0f671c20039939f810105da37d34a97,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/toronto/rate_18p0/seed_1005.rou.xml,c22e45c80689c6c960b3844c0be284d685d64c3fdbceefb3d50e6de3c6cac465,rate_18,168.299972,0,1,232.0,7642.0,0.0,0.0,0.0,0.0,466.8360655737705,0.0,6.283128588259675,138.52459016393442,3164.622950819672,0.0,0.0,0.0,0.0,25560,0,0,0.46588419405320813,11908,990,61,1796,1005,1200.0,0,1132,0.0
1125,,,all_model,toronto,fixed_route_replay,ba8c58622238bedf041f5fe389a5bd27c0f671c20039939f810105da37d34a97,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/toronto/rate_18p0/seed_1006.rou.xml,568a0a0be690e28eecef23f404c13e3200d759a1e221dff9150de35a66248f98,rate_18,154.880905,0,1,251.0,7827.0,0.0,0.0,0.0,0.0,480.6885245901639,0.0,6.344454243132182,148.86885245901638,3692.032786885246,0.0,0.0,0.0,0.0,25560,0,0,0.46842723004694836,11973,942,61,1796,1006,1200.0,0,1125,0.0
1104,,,all_model,toronto,fixed_route_replay,ba8c58622238bedf041f5fe389a5bd27c0f671c20039939f810105da37d34a97,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/toronto/rate_18p0/seed_1007.rou.xml,b158bf05e7eb51779660993804a9e62127a34046b8b39fd5e74384964a7298bb,rate_18,155.098769,0,1,235.0,6718.0,0.0,0.0,0.0,0.0,491.73770491803276,0.0,6.467804375882307,140.50819672131146,2938.7049180327867,0.0,0.0,0.0,0.0,25560,0,0,0.46881846635367763,11983,918,61,1796,1007,1200.0,0,1104,0.0
1113,,,all_model,toronto,fixed_route_replay,ba8c58622238bedf041f5fe389a5bd27c0f671c20039939f810105da37d34a97,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/toronto/rate_18p0/seed_1008.rou.xml,702f098c9ad1bf219ef690b141f6345426c2af5416a08dda85636c3969fefac1,rate_18,207.334609,0,1,275.0,9863.0,0.0,0.0,0.0,0.0,481.72131147540983,0.0,6.10980530534055,150.27868852459017,3737.5737704918033,0.0,0.0,0.0,0.0,25560,0,0,0.46498435054773085,11885,964,61,1796,1008,1200.0,0,1113,0.0
1119,,,all_model,toronto,fixed_route_replay,ba8c58622238bedf041f5fe389a5bd27c0f671c20039939f810105da37d34a97,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/toronto/rate_18p0/seed_1009.rou.xml,c4ebe632b93568ca3f542d703733cbc521be342abf34999ed1e610f1becc042b,rate_18,154.785292,0,1,236.0,6771.0,0.0,0.0,0.0,0.0,480.1639344262295,0.0,6.402746028530736,143.24590163934425,3108.934426229508,0.0,0.0,0.0,0.0,25560,0,0,0.46592331768388107,11909,965,61,1796,1009,1200.0,0,1119,0.0
1114,,,all_model,toronto,fixed_route_replay,ba8c58622238bedf041f5fe389a5bd27c0f671c20039939f810105da37d34a97,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed/demand/toronto/rate_18p0/seed_1010.rou.xml,a848c5202538d8bdde666a9a2f15cbc02c23be7f405cf44b13fcd23e53f59acf,rate_18,156.384182,0,1,231.0,7741.0,0.0,0.0,0.0,0.0,476.27868852459017,0.0,6.399385998937704,140.88524590163934,3308.8524590163934,0.0,0.0,0.0,0.0,25560,0,0,0.4669014084507042,11934,916,61,1796,1010,1200.0,0,1114,0.0
