arrived_this_window_sum,baseline_reused,baseline_source_campaign,controller,demand_map_id,demand_mode,demand_network_sha256,demand_route_file,demand_route_sha256,demand_scenario,evaluation_wall_seconds,extended_total,fixed_demand,max_global_queue,max_global_wait,max_target_queue,max_target_wait,max_tls_spillback,max_tls_starvation,mean_active_vehicles,mean_ambulance_count,mean_avg_speed_mps,mean_global_queue,mean_global_wait,mean_target_queue,mean_target_wait,mean_tls_spillback,mean_tls_starvation,policy_decisions,policy_forced_switches,policy_invalid_actions,policy_switch_rate,policy_switches,recovered_total,samples,scheduled_total,seed,sim_seconds,spawned_total,total_arrived,total_reward
1425,,,all_model,mexico_city,fixed_route_replay,9dff3bd4deb87c15c698143a3b0c22410e8305799f4b15a0777435d6017f4337,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/mexico_city/rate_18p0/seed_1001.rou.xml,c0b0c529c8e9ed91f3733b3f181c6b069c3a40efa0a67169c6a88757882c7f45,rate_18,177.587173,0,1,954.0,59848.0,0.0,0.0,0.0,0.0,979.0327868852459,0.0,6.101714926341992,460.3114754098361,20630.70491803279,0.0,0.0,0.0,0.0,24000,0,0,0.48483333333333334,11636,1322,61,3076,1001,1200.0,0,1425,0.0
1336,,,all_model,mexico_city,fixed_route_replay,9dff3bd4deb87c15c698143a3b0c22410e8305799f4b15a0777435d6017f4337,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/mexico_city/rate_18p0/seed_1002.rou.xml,99fe31292d1bc9194434b121624b075eb5cfc0709cac3cd6c89df56b75b31ed5,rate_18,174.938358,0,1,1009.0,50602.0,0.0,0.0,0.0,0.0,1004.8688524590164,0.0,5.998601660529063,476.672131147541,20594.590163934427,0.0,0.0,0.0,0.0,24000,0,0,0.4856666666666667,11656,1067,61,3076,1002,1200.0,0,1336,0.0
1353,,,all_model,mexico_city,fixed_route_replay,9dff3bd4deb87c15c698143a3b0c22410e8305799f4b15a0777435d6017f4337,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/mexico_city/rate_18p0/seed_1003.rou.xml,f55ce7e630f539afec6c0f1cf5c84d7124c377c5cb2488b61dc898e74e394ab0,rate_18,188.650912,0,1,982.0,64770.0,0.0,0.0,0.0,0.0,1010.4262295081967,0.0,5.914624904916086,497.0655737704918,22905.147540983606,0.0,0.0,0.0,0.0,24000,0,0,0.4850833333333333,11642,1102,61,3076,1003,1200.0,0,1353,0.0
1470,,,all_model,mexico_city,fixed_route_replay,9dff3bd4deb87c15c698143a3b0c22410e8305799f4b15a0777435d6017f4337,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/mexico_city/rate_18p0/seed_1004.rou.xml,37a80198f0a7929143f798244827f084d7914d3b1773ec0989fc9df23be9fa74,rate_18,151.623938,0,1,902.0,51906.0,0.0,0.0,0.0,0.0,958.2622950819672,0.0,6.194832929016098,436.08196721311475,19020.77049180328,0.0,0.0,0.0,0.0,24000,0,0,0.4840833333333333,11618,1305,61,3076,1004,1200.0,0,1470,0.0
1517,,,all_model,mexico_city,fixed_route_replay,9dff3bd4deb87c15c698143a3b0c22410e8305799f4b15a0777435d6017f4337,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/mexico_city/rate_18p0/seed_1005.rou.xml,0065c473fb79e4f87338d73f0fb079ca027be3fe505192a03509e4330c1e2e5f,rate_18,215.735134,0,1,888.0,49260.0,0.0,0.0,0.0,0.0,957.4918032786885,0.0,6.194082145211429,438.04918032786884,18644.44262295082,0.0,0.0,0.0,0.0,24000,0,0,0.48570833333333335,11657,1182,61,3076,1005,1200.0,0,1517,0.0
1421,,,all_model,mexico_city,fixed_route_replay,9dff3bd4deb87c15c698143a3b0c22410e8305799f4b15a0777435d6017f4337,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/mexico_city/rate_18p0/seed_1006.rou.xml,2c80842b217d329dde0f397f42fa25b1714a7a1b0c3eaa67a8cc00488f31f083,rate_18,200.519163,0,1,944.0,48314.0,0.0,0.0,0.0,0.0,986.2459016393443,0.0,6.237105040960143,449.655737704918,19218.72131147541,0.0,0.0,0.0,0.0,24000,0,0,0.4850833333333333,11642,1242,61,3076,1006,1200.0,0,1421,0.0
1451,,,all_model,mexico_city,fixed_route_replay,9dff3bd4deb87c15c698143a3b0c22410e8305799f4b15a0777435d6017f4337,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/mexico_city/rate_18p0/seed_1007.rou.xml,e55def69c7b95fc7cdf810a915e5d2d424166dfd1595acfcff9118f676d43579,rate_18,151.866591,0,1,956.0,51072.0,0.0,0.0,0.0,0.0,968.8360655737705,0.0,6.12823811035801,450.55737704918033,19350.213114754097,0.0,0.0,0.0,0.0,24000,0,0,0.484,11616,1036,61,3076,1007,1200.0,0,1451,0.0
1311,,,all_model,mexico_city,fixed_route_replay,9dff3bd4deb87c15c698143a3b0c22410e8305799f4b15a0777435d6017f4337,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/mexico_city/rate_18p0/seed_1008.rou.xml,f5ab25f78bfd5cbf6704d1434bfbc31387c8cb31d401d1fb81be4db5204f3a99,rate_18,216.064099,0,1,1073.0,59761.0,0.0,0.0,0.0,0.0,1021.1311475409836,0.0,5.980527908272305,497.88524590163934,23164.377049180326,0.0,0.0,0.0,0.0,24000,0,0,0.48533333333333334,11648,1053,61,3076,1008,1200.0,0,1311,0.0
1416,,,all_model,mexico_city,fixed_route_replay,9dff3bd4deb87c15c698143a3b0c22410e8305799f4b15a0777435d6017f4337,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/mexico_city/rate_18p0/seed_1009.rou.xml,5473da9ec56bf9c632ed83de2c07b3d630be2235739a6eab9b9215cd89c80b04,rate_18,207.845534,0,1,960.0,53811.0,0.0,0.0,0.0,0.0,982.1475409836065,0.0,6.01621990586691,464.55737704918033,20789.147540983606,0.0,0.0,0.0,0.0,24000,0,0,0.484875,11637,1057,61,3076,1009,1200.0,0,1416,0.0
1457,,,all_model,mexico_city,fixed_route_replay,9dff3bd4deb87c15c698143a3b0c22410e8305799f4b15a0777435d6017f4337,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/mexico_city/rate_18p0/seed_1010.rou.xml,50ce140b24279f2f59eacc3c88d622fdd974ab9976f436c71083761f71ea6064,rate_18,171.134921,0,1,946.0,61407.0,0.0,0.0,0.0,0.0,977.344262295082,0.0,6.141341746280269,456.1639344262295,20071.508196721312,0.0,0.0,0.0,0.0,24000,0,0,0.484875,11637,1160,61,3076,1010,1200.0,0,1457,0.0
1455,,,all_model,mexico_city,fixed_route_replay,9dff3bd4deb87c15c698143a3b0c22410e8305799f4b15a0777435d6017f4337,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/mexico_city/rate_18p0/seed_1011.rou.xml,1dc9fe259373ef634665bc748e63ebd7250a017aa698455b3f0ca0ad3cde952a,rate_18,208.304652,0,1,923.0,49057.0,0.0,0.0,0.0,0.0,980.6229508196722,0.0,6.06127458607582,450.9836065573771,19000.360655737706,0.0,0.0,0.0,0.0,24000,0,0,0.4866666666666667,11680,1336,61,3076,1011,1200.0,0,1455,0.0
1357,,,all_model,mexico_city,fixed_route_replay,9dff3bd4deb87c15c698143a3b0c22410e8305799f4b15a0777435d6017f4337,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/mexico_city/rate_18p0/seed_1012.rou.xml,328a919066039e0ce1eedeb4ba09b155c1bc54cd046a01409578bb4083cae90e,rate_18,175.534602,0,1,1001.0,58815.0,0.0,0.0,0.0,0.0,995.2622950819672,0.0,5.9210205356233345,478.5409836065574,21428.344262295082,0.0,0.0,0.0,0.0,24000,0,0,0.4849583333333333,11639,1148,61,3076,1012,1200.0,0,1357,0.0
