arrived_this_window_sum,baseline_reused,baseline_source_campaign,controller,demand_map_id,demand_mode,demand_network_sha256,demand_route_file,demand_route_sha256,demand_scenario,evaluation_wall_seconds,extended_total,fixed_demand,max_global_queue,max_global_wait,max_target_queue,max_target_wait,max_tls_spillback,max_tls_starvation,mean_active_vehicles,mean_ambulance_count,mean_avg_speed_mps,mean_global_queue,mean_global_wait,mean_target_queue,mean_target_wait,mean_tls_spillback,mean_tls_starvation,policy_decisions,policy_forced_switches,policy_invalid_actions,policy_switch_rate,policy_switches,recovered_total,samples,scheduled_total,seed,sim_seconds,spawned_total,total_arrived,total_reward
508,,,all_model,new_york,fixed_route_replay,024cd98544929d8722c5a07b1fe785858e09260cf6b97ef3cc93a690b69980d1,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/new_york/rate_18p0/seed_1001.rou.xml,221acf84fe8b6a0cdb44eae21fb71bb6a5c7c7b8efb14754274d08b87b59152c,rate_18,129.720732,0,1,296.0,11559.0,0.0,0.0,0.0,0.0,399.0163934426229,0.0,4.454290567453864,163.63934426229508,4641.295081967213,0.0,0.0,0.0,0.0,42120,0,0,0.47663817663817665,20076,579,61,1136,1001,1200.0,0,508,0.0
474,,,all_model,new_york,fixed_route_replay,024cd98544929d8722c5a07b1fe785858e09260cf6b97ef3cc93a690b69980d1,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/new_york/rate_18p0/seed_1002.rou.xml,dc07f160a320082032ba3c08cf2c942db8d7c1bc8702de13db5bcbec85f00c0e,rate_18,183.291666,0,1,316.0,10869.0,0.0,0.0,0.0,0.0,406.1311475409836,0.0,4.421753306215373,168.01639344262296,4524.688524590164,0.0,0.0,0.0,0.0,42120,0,0,0.47673314339981004,20080,494,61,1136,1002,1200.0,0,474,0.0
503,,,all_model,new_york,fixed_route_replay,024cd98544929d8722c5a07b1fe785858e09260cf6b97ef3cc93a690b69980d1,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/new_york/rate_18p0/seed_1003.rou.xml,ed973ef2ab79b8486a66c9d972e95137febec56d66a60203c13971cc02bc7d36,rate_18,145.658874,0,1,281.0,8932.0,0.0,0.0,0.0,0.0,399.55737704918033,0.0,4.685170301332352,151.50819672131146,3554.2950819672133,0.0,0.0,0.0,0.0,42120,0,0,0.4761633428300095,20056,479,61,1136,1003,1200.0,0,503,0.0
510,,,all_model,new_york,fixed_route_replay,024cd98544929d8722c5a07b1fe785858e09260cf6b97ef3cc93a690b69980d1,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/new_york/rate_18p0/seed_1004.rou.xml,5ced65299fde23a32381916f3096c903b721fa48543939e12396aa80cc772e82,rate_18,178.586457,0,1,289.0,8657.0,0.0,0.0,0.0,0.0,393.0,0.0,4.555137619891971,160.86885245901638,3961.934426229508,0.0,0.0,0.0,0.0,42120,0,0,0.47694681861348526,20089,494,61,1136,1004,1200.0,0,510,0.0
504,,,all_model,new_york,fixed_route_replay,024cd98544929d8722c5a07b1fe785858e09260cf6b97ef3cc93a690b69980d1,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/new_york/rate_18p0/seed_1005.rou.xml,a686a7ab30f7747c646d56a75545c2d011deec2dae572a2de65e97b461150b81,rate_18,184.430600,0,1,295.0,9750.0,0.0,0.0,0.0,0.0,395.39344262295083,0.0,4.610857814530408,156.75409836065575,3924.1475409836066,0.0,0.0,0.0,0.0,42120,0,0,0.47642450142450143,20067,531,61,1136,1005,1200.0,0,504,0.0
530,,,all_model,new_york,fixed_route_replay,024cd98544929d8722c5a07b1fe785858e09260cf6b97ef3cc93a690b69980d1,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/new_york/rate_18p0/seed_1006.rou.xml,a408f701ad17c69b124980b0ca6fe3685f58586bc57b0dd6677f8e58d7cdeb44,rate_18,118.767258,0,1,274.0,8293.0,0.0,0.0,0.0,0.0,381.7049180327869,0.0,4.459502807154021,155.0327868852459,3791.55737704918,0.0,0.0,0.0,0.0,42120,0,0,0.47680436847103513,20083,560,61,1136,1006,1200.0,0,530,0.0
473,,,all_model,new_york,fixed_route_replay,024cd98544929d8722c5a07b1fe785858e09260cf6b97ef3cc93a690b69980d1,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/new_york/rate_18p0/seed_1007.rou.xml,43043ce2d26ff252bd5e5c04a773e5c117b12e6db0e5f76e57a03dada38b18c7,rate_18,127.907407,0,1,321.0,12714.0,0.0,0.0,0.0,0.0,404.9016393442623,0.0,4.407053119795133,168.29508196721312,4599.459016393443,0.0,0.0,0.0,0.0,42120,0,0,0.47651946818613483,20071,545,61,1136,1007,1200.0,0,473,0.0
551,,,all_model,new_york,fixed_route_replay,024cd98544929d8722c5a07b1fe785858e09260cf6b97ef3cc93a690b69980d1,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/new_york/rate_18p0/seed_1008.rou.xml,bf2c05e4d5252430a2decaccac65360d3c6d76e29bdda3c76bd70202dcc3e391,rate_18,124.800001,0,1,267.0,10433.0,0.0,0.0,0.0,0.0,375.88524590163934,0.0,4.667031920506982,143.63934426229508,3535.8360655737706,0.0,0.0,0.0,0.0,42120,0,0,0.47708926875593544,20095,511,61,1136,1008,1200.0,0,551,0.0
559,,,all_model,new_york,fixed_route_replay,024cd98544929d8722c5a07b1fe785858e09260cf6b97ef3cc93a690b69980d1,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/new_york/rate_18p0/seed_1009.rou.xml,d1cafb5790b5ea67e5763125f3aaa8832b584577c9d011d2393e022d47406662,rate_18,172.387507,0,1,257.0,7804.0,0.0,0.0,0.0,0.0,375.24590163934425,0.0,4.6680112805350635,141.55737704918033,3203.7868852459014,0.0,0.0,0.0,0.0,42120,0,0,0.47768281101614435,20120,496,61,1136,1009,1200.0,0,559,0.0
537,,,all_model,new_york,fixed_route_replay,024cd98544929d8722c5a07b1fe785858e09260cf6b97ef3cc93a690b69980d1,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/new_york/rate_18p0/seed_1010.rou.xml,865dcf040fc9ce50fe3366b731f7134d431cbb07162064e5c12021309873389a,rate_18,118.234035,0,1,263.0,9457.0,0.0,0.0,0.0,0.0,386.8360655737705,0.0,4.614101475016856,149.8360655737705,3979.7377049180327,0.0,0.0,0.0,0.0,42120,0,0,0.47692307692307695,20088,542,61,1136,1010,1200.0,0,537,0.0
