arrived_this_window_sum,baseline_reused,baseline_source_campaign,controller,demand_map_id,demand_mode,demand_network_sha256,demand_route_file,demand_route_sha256,demand_scenario,evaluation_wall_seconds,extended_total,fixed_demand,max_global_queue,max_global_wait,max_target_queue,max_target_wait,max_tls_spillback,max_tls_starvation,mean_active_vehicles,mean_ambulance_count,mean_avg_speed_mps,mean_global_queue,mean_global_wait,mean_target_queue,mean_target_wait,mean_tls_spillback,mean_tls_starvation,policy_decisions,policy_forced_switches,policy_invalid_actions,policy_switch_rate,policy_switches,recovered_total,samples,scheduled_total,seed,sim_seconds,spawned_total,total_arrived,total_reward
1053,,,all_model,sydney,fixed_route_replay,5d6bf4052f31ff08d4001d6a49df983064a06dcb515035aa0ef60210b7eeeb93,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/sydney/rate_18p0/seed_1001.rou.xml,41bc5948b47b3f84843166333dba6ef200b3f7206a2a9a20cf50c42a3378c7b5,rate_18,147.193648,0,1,656.0,45660.0,0.0,0.0,0.0,0.0,661.1803278688525,0.0,4.868558767717839,341.72131147540983,18731.032786885247,0.0,0.0,0.0,0.0,25560,0,0,0.48419405320813774,12376,744,61,2112,1001,1200.0,0,1053,0.0
1066,,,all_model,sydney,fixed_route_replay,5d6bf4052f31ff08d4001d6a49df983064a06dcb515035aa0ef60210b7eeeb93,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/sydney/rate_18p0/seed_1002.rou.xml,77897d40d9d844484d8b2da891dfe0df57d000c431b7c8721cad6288a275a4e7,rate_18,207.652226,0,1,657.0,47575.0,0.0,0.0,0.0,0.0,642.8196721311475,0.0,4.913471063967171,333.5409836065574,18295.655737704918,0.0,0.0,0.0,0.0,25560,0,0,0.4839201877934272,12369,705,61,2112,1002,1200.0,0,1066,0.0
1043,,,all_model,sydney,fixed_route_replay,5d6bf4052f31ff08d4001d6a49df983064a06dcb515035aa0ef60210b7eeeb93,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/sydney/rate_18p0/seed_1003.rou.xml,80958e93559a913c382787a4547bd2a416eb13b6d01c601d2dd6bc32763ae9fb,rate_18,186.658461,0,1,618.0,39186.0,0.0,0.0,0.0,0.0,657.9016393442623,0.0,4.892820877909428,331.0163934426229,17643.45901639344,0.0,0.0,0.0,0.0,25560,0,0,0.4847809076682316,12391,697,61,2112,1003,1200.0,0,1043,0.0
1012,,,all_model,sydney,fixed_route_replay,5d6bf4052f31ff08d4001d6a49df983064a06dcb515035aa0ef60210b7eeeb93,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/sydney/rate_18p0/seed_1004.rou.xml,e71adfcd8b24fbb83fdd0b18274f9eedf5c3efc035d854d8e3a8140279e9840e,rate_18,149.147171,0,1,686.0,50658.0,0.0,0.0,0.0,0.0,678.8852459016393,0.0,4.958143233822623,348.59016393442624,20035.344262295082,0.0,0.0,0.0,0.0,25560,0,0,0.48513302034428796,12400,704,61,2112,1004,1200.0,0,1012,0.0
1064,,,all_model,sydney,fixed_route_replay,5d6bf4052f31ff08d4001d6a49df983064a06dcb515035aa0ef60210b7eeeb93,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/sydney/rate_18p0/seed_1005.rou.xml,28153c0b4d9b32d3db2649084be7b7affc96706abc08c0b8d7d63b7f9e600ff4,rate_18,144.115013,0,1,657.0,44362.0,0.0,0.0,0.0,0.0,661.2622950819672,0.0,4.79317345019354,347.0,19565.72131147541,0.0,0.0,0.0,0.0,25560,0,0,0.48262910798122066,12336,766,61,2112,1005,1200.0,0,1064,0.0
1019,,,all_model,sydney,fixed_route_replay,5d6bf4052f31ff08d4001d6a49df983064a06dcb515035aa0ef60210b7eeeb93,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/sydney/rate_18p0/seed_1006.rou.xml,e577e4cd32ac1715bc196b0f8ea4f64205f30631c5ac9017600dc9f367a07844,rate_18,222.643743,0,1,694.0,44653.0,0.0,0.0,0.0,0.0,665.0491803278688,0.0,4.724002892472797,347.9344262295082,18738.754098360656,0.0,0.0,0.0,0.0,25560,0,0,0.4843114241001565,12379,700,61,2112,1006,1200.0,0,1019,0.0
1022,,,all_model,sydney,fixed_route_replay,5d6bf4052f31ff08d4001d6a49df983064a06dcb515035aa0ef60210b7eeeb93,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/sydney/rate_18p0/seed_1007.rou.xml,f2b27476504d6be07eb328dda2fcd6b97cdb509ed7d63f07e89cfa6c4a64cde9,rate_18,190.534904,0,1,660.0,47722.0,0.0,0.0,0.0,0.0,674.6229508196722,0.0,4.754382652025811,350.8360655737705,19290.60655737705,0.0,0.0,0.0,0.0,25560,0,0,0.4842331768388106,12377,678,61,2112,1007,1200.0,0,1022,0.0
1027,,,all_model,sydney,fixed_route_replay,5d6bf4052f31ff08d4001d6a49df983064a06dcb515035aa0ef60210b7eeeb93,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/sydney/rate_18p0/seed_1008.rou.xml,1e085fb5d1d0ad60d59a326d90f098e5efafecc1e6e5056e652f0b518dc1e4a0,rate_18,160.521556,0,1,671.0,42221.0,0.0,0.0,0.0,0.0,660.5081967213115,0.0,4.815968851749339,352.9672131147541,19503.950819672133,0.0,0.0,0.0,0.0,25560,0,0,0.48333333333333334,12354,674,61,2112,1008,1200.0,0,1027,0.0
994,,,all_model,sydney,fixed_route_replay,5d6bf4052f31ff08d4001d6a49df983064a06dcb515035aa0ef60210b7eeeb93,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/sydney/rate_18p0/seed_1009.rou.xml,26a8d3d79fbb4a94ee047bcd0862793f685e63327d2b57d0ca42de867463b598,rate_18,147.816434,0,1,700.0,44084.0,0.0,0.0,0.0,0.0,668.4918032786885,0.0,4.867496546314139,353.91803278688525,19016.22950819672,0.0,0.0,0.0,0.0,25560,0,0,0.4853677621283255,12406,682,61,2112,1009,1200.0,0,994,0.0
1009,,,all_model,sydney,fixed_route_replay,5d6bf4052f31ff08d4001d6a49df983064a06dcb515035aa0ef60210b7eeeb93,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/sydney/rate_18p0/seed_1010.rou.xml,f13dc71b6a29df2a0f1ea58788591a66664f62be4cea33bf92c84d24862b6d08,rate_18,182.079000,0,1,680.0,44749.0,0.0,0.0,0.0,0.0,683.7868852459017,0.0,4.885437761909538,347.3606557377049,18754.967213114753,0.0,0.0,0.0,0.0,25560,0,0,0.48325508607198747,12352,778,61,2112,1010,1200.0,0,1009,0.0
