arrived_this_window_sum,baseline_reused,baseline_source_campaign,controller,demand_map_id,demand_mode,demand_network_sha256,demand_route_file,demand_route_sha256,demand_scenario,evaluation_wall_seconds,extended_total,fixed_demand,max_global_queue,max_global_wait,max_target_queue,max_target_wait,max_tls_spillback,max_tls_starvation,mean_active_vehicles,mean_ambulance_count,mean_avg_speed_mps,mean_global_queue,mean_global_wait,mean_target_queue,mean_target_wait,mean_tls_spillback,mean_tls_starvation,policy_decisions,policy_forced_switches,policy_invalid_actions,policy_switch_rate,policy_switches,recovered_total,samples,scheduled_total,seed,sim_seconds,spawned_total,total_arrived,total_reward
960,,,all_model,tokyo,fixed_route_replay,61c50a5069d35da901fb038a2be36624d65f8307c12fdc8ebd32b25415736391,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/tokyo/rate_18p0/seed_1001.rou.xml,2b7e7902e27e36809e9b17453383ab9e82693f989d76e7ad39a9a093a5823c9b,rate_18,106.838464,0,1,285.0,17949.0,0.0,0.0,0.0,0.0,394.0,0.0,6.395131065036909,142.39344262295083,6006.5901639344265,0.0,0.0,0.0,0.0,10800,0,0,0.49203703703703705,5314,194,61,1557,1001,1200.0,0,960,0.0
854,,,all_model,tokyo,fixed_route_replay,61c50a5069d35da901fb038a2be36624d65f8307c12fdc8ebd32b25415736391,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/tokyo/rate_18p0/seed_1002.rou.xml,1a2a510d6fc44988df9ed3f84767b9c87eff926daaf6da58c9364a996c5bd126,rate_18,98.196167,0,1,397.0,25123.0,0.0,0.0,0.0,0.0,433.21311475409834,0.0,5.57642927011998,195.44262295081967,9894.967213114754,0.0,0.0,0.0,0.0,10800,0,0,0.48935185185185187,5285,205,61,1557,1002,1200.0,0,854,0.0
932,,,all_model,tokyo,fixed_route_replay,61c50a5069d35da901fb038a2be36624d65f8307c12fdc8ebd32b25415736391,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/tokyo/rate_18p0/seed_1003.rou.xml,b0ef604cf304d46e307b298bfd9446f91bae217cb5e9d1d43345a6668ce4fd7e,rate_18,73.406006,0,1,297.0,16964.0,0.0,0.0,0.0,0.0,403.55737704918033,0.0,6.163073008306421,153.59016393442624,6184.213114754099,0.0,0.0,0.0,0.0,10800,0,0,0.48935185185185187,5285,178,61,1557,1003,1200.0,0,932,0.0
888,,,all_model,tokyo,fixed_route_replay,61c50a5069d35da901fb038a2be36624d65f8307c12fdc8ebd32b25415736391,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/tokyo/rate_18p0/seed_1004.rou.xml,5e920df89e2a449419c70c2e14e73f190b70d83403d2d515522c9264d2956717,rate_18,78.702842,0,1,369.0,24334.0,0.0,0.0,0.0,0.0,429.1967213114754,0.0,5.877045066974874,176.01639344262296,7996.786885245901,0.0,0.0,0.0,0.0,10800,0,0,0.4912962962962963,5306,178,61,1557,1004,1200.0,0,888,0.0
944,,,all_model,tokyo,fixed_route_replay,61c50a5069d35da901fb038a2be36624d65f8307c12fdc8ebd32b25415736391,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/tokyo/rate_18p0/seed_1005.rou.xml,adc8e01d11deabf77255e68e870e4a1419d9cf4f389301f3a5d733fc0d765b20,rate_18,74.656496,0,1,301.0,15938.0,0.0,0.0,0.0,0.0,408.9672131147541,0.0,6.0468231762888935,159.72131147540983,6877.573770491803,0.0,0.0,0.0,0.0,10800,0,0,0.4899074074074074,5291,235,61,1557,1005,1200.0,0,944,0.0
883,,,all_model,tokyo,fixed_route_replay,61c50a5069d35da901fb038a2be36624d65f8307c12fdc8ebd32b25415736391,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/tokyo/rate_18p0/seed_1006.rou.xml,7a6e0e23cf038a19e0e37b09e8f0c5fd30bb91f0adf88c11dc8a1d3bac6eee98,rate_18,88.182719,0,1,361.0,20150.0,0.0,0.0,0.0,0.0,426.7049180327869,0.0,5.632627204138802,183.81967213114754,7919.688524590164,0.0,0.0,0.0,0.0,10800,0,0,0.48935185185185187,5285,246,61,1557,1006,1200.0,0,883,0.0
969,,,all_model,tokyo,fixed_route_replay,61c50a5069d35da901fb038a2be36624d65f8307c12fdc8ebd32b25415736391,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/tokyo/rate_18p0/seed_1007.rou.xml,2581a879d0b4e4c51d238b1dc6a3c59ca057aa10ed6d07e5d12b5bf0079f56bc,rate_18,97.427799,0,1,276.0,13719.0,0.0,0.0,0.0,0.0,393.91803278688525,0.0,6.302104821027331,144.47540983606558,5669.918032786885,0.0,0.0,0.0,0.0,10800,0,0,0.4910185185185185,5303,238,61,1557,1007,1200.0,0,969,0.0
886,,,all_model,tokyo,fixed_route_replay,61c50a5069d35da901fb038a2be36624d65f8307c12fdc8ebd32b25415736391,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/tokyo/rate_18p0/seed_1008.rou.xml,e9c723019e27a916b60762864049d15ae9a9c194a270086be70dd519c251b4d7,rate_18,96.751706,0,1,378.0,20377.0,0.0,0.0,0.0,0.0,430.0655737704918,0.0,5.687460555234168,182.65573770491804,8116.606557377049,0.0,0.0,0.0,0.0,10800,0,0,0.4899074074074074,5291,180,61,1557,1008,1200.0,0,886,0.0
953,,,all_model,tokyo,fixed_route_replay,61c50a5069d35da901fb038a2be36624d65f8307c12fdc8ebd32b25415736391,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/tokyo/rate_18p0/seed_1009.rou.xml,dc6ef895ab78a238e14b23ae2ec857ceae92e865c05d596dd7514fab6094fa26,rate_18,87.297595,0,1,328.0,22550.0,0.0,0.0,0.0,0.0,420.1311475409836,0.0,5.886187400484583,168.40983606557376,7323.311475409836,0.0,0.0,0.0,0.0,10800,0,0,0.4886111111111111,5277,198,61,1557,1009,1200.0,0,953,0.0
925,,,all_model,tokyo,fixed_route_replay,61c50a5069d35da901fb038a2be36624d65f8307c12fdc8ebd32b25415736391,/users/sriramv/sumo_traffic_project/runs/detector_v4_extensive_test_fast/heldout/mixed_corrupted/demand/tokyo/rate_18p0/seed_1010.rou.xml,a4f5036f9c3799a391caa90e34721cb6fc640ca69b6e8c0d88ff44e75f6af104,rate_18,74.857987,0,1,346.0,18366.0,0.0,0.0,0.0,0.0,409.55737704918033,0.0,5.920736371597319,167.49180327868854,6798.131147540984,0.0,0.0,0.0,0.0,10800,0,0,0.49037037037037035,5296,236,61,1557,1010,1200.0,0,925,0.0
