#{"t_start": 1781576799.612971, "env_id": "None"}
r,l,t
-9.298312,30,14.716056
-9.110491,30,29.784827
-8.583291,30,44.287242
-17.607112,30,58.937059
-10.96833,30,73.665455
-9.129026,30,88.600267
-9.354135,30,104.300948
-11.445295,30,119.163435
-8.909059,30,133.883994
-11.605838,30,148.993325
-8.481742,30,164.032386
-9.226075,30,179.480329
-7.883878,30,194.326501
-12.400108,30,209.382179
-8.718616,30,224.457453
-10.105763,30,239.078425
-8.025207,30,254.272506
-7.685944,30,269.659748
-8.715069,30,285.387383
-10.740715,30,300.273459
-8.176623,30,315.267561
-10.278799,30,330.51363
-11.271708,30,345.45383
-6.564606,30,360.10136
-10.108456,30,375.218231
-8.693685,30,389.978147
-9.87381,30,404.880914
-11.396845,30,420.279067
-9.186355,30,435.533833
-11.284778,30,450.34993
-12.833501,30,465.372394
-11.517927,30,480.5125
-8.763414,30,495.379065
-8.707,30,510.655371
-12.158086,30,526.095169
-6.117948,30,540.631588
-14.468454,30,555.897832
-13.527561,30,571.009305
-9.991517,30,585.901692
-10.895139,30,601.037252
-8.698148,30,616.448817
-12.087734,30,631.489766
-8.964117,30,647.090147
-10.782459,30,662.815647
-13.103842,30,677.860315
-9.693665,30,693.532568
-10.068821,30,708.963959
-11.625126,30,724.369832
-9.05001,30,739.600178
-9.659993,30,755.064929
-12.28418,30,770.543657
-13.188779,30,785.857268
-9.401141,30,800.979142
-10.126401,30,815.509929
-14.908381,30,831.160367
-15.065715,30,846.679725
-11.394071,30,862.067978
-12.998104,30,877.166346
-9.63671,30,892.531699
-9.0879,30,907.94315
-8.689254,30,922.525273
-12.529916,30,937.630508
-10.426908,30,952.488779
-12.176567,30,967.549227
-15.306636,30,983.186612
-12.893315,30,998.599193
-9.55383,30,1013.75506
-7.25746,30,1028.69175
